country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Indonesia,Combined,2012-01-01,2012,1,3184,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0.996869129618034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006261740763932,0.0,0.0006261740763932,0.0,0.0003130870381966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Combined,2012-02-01,2012,2,3817,2,0,0,0,0,0,2,0,0,6,1,1,0,0,0,0,0,1,1,0,0,0.99478759447485,0.0005212405525149,0.0,0.0,0.0,0.0,0.0,0.0005212405525149,0.0,0.0,0.0015637216575449,0.0002606202762574,0.0002606202762574,0.0,0.0,0.0,0.0,0.0,0.0002606202762574,0.0002606202762574,0.0,0.0
Indonesia,Combined,2012-03-01,2012,3,4248,0,0,0,0,1,1,0,0,0,6,0,2,0,0,0,0,1,0,2,0,0,0.9953139643861292,0.0,0.0,0.0,0.0,0.0002343017806935,0.0002343017806935,0.0,0.0,0.0,0.0014058106841611,0.0,0.000468603561387,0.0,0.0,0.0,0.0,0.0002343017806935,0.0,0.000468603561387,0.0,0.0
Indonesia,Combined,2012-04-01,2012,4,4190,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,1,0,0.993361782835467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016595542911332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004741583688952,0.0002370791844476,0.0
Indonesia,Combined,2012-05-01,2012,5,3830,1,0,0,0,0,0,1,0,1,2,2,6,0,25,0,0,0,0,0,3,0,0.9863507597218646,0.0002575328354365,0.0,0.0,0.0,0.0,0.0,0.0002575328354365,0.0,0.0002575328354365,0.000515065670873,0.000515065670873,0.0015451970126191,0.0,0.0064383208859129,0.0,0.0,0.0,0.0,0.0,0.0007725985063095,0.0
Indonesia,Combined,2012-06-01,2012,6,3347,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0.9934698723656872,0.0002968239833778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014841199168892,0.0,0.0,0.0,0.0002968239833778,0.0,0.0,0.0,0.0,0.0,0.0002968239833778,0.0
Indonesia,Combined,2012-07-01,2012,7,3695,0,0,0,0,1,0,6,0,0,4,0,2,0,0,0,0,0,0,1,0,1,0.9943487621097956,0.0,0.0,0.0,0.0,0.0002691065662002,0.0,0.0016146393972012,0.0,0.0,0.0010764262648008,0.0,0.0005382131324004,0.0,0.0,0.0,0.0,0.0,0.0,0.0002691065662002,0.0,0.0002691065662002
Indonesia,Combined,2012-08-01,2012,8,4090,1,0,0,1,1,0,1,0,0,6,0,4,0,1,0,1,0,0,1,0,0,0.9917555771096024,0.0002424830261881,0.0,0.0,0.0002424830261881,0.0002424830261881,0.0,0.0002424830261881,0.0,0.0,0.001454898157129,0.0,0.0009699321047526,0.0,0.0002424830261881,0.0,0.0002424830261881,0.0,0.0,0.0002424830261881,0.0,0.0
Indonesia,Combined,2012-09-01,2012,9,4358,0,0,0,0,0,2,6,1,0,5,0,1,0,0,0,0,0,0,0,2,0,0.9927107061503416,0.0,0.0,0.0,0.0,0.0,0.0004555808656036,0.0013667425968109,0.0002277904328018,0.0,0.0011389521640091,0.0,0.0002277904328018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004555808656036,0.0
Indonesia,Combined,2012-10-01,2012,10,5907,0,0,0,1,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0.996793790077624,0.0,0.0,0.0,0.0001687478906513,0.0,0.0,0.0,0.0,0.0,0.0010124873439082,0.0,0.0,0.0,0.0005062436719541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Combined,2012-11-01,2012,11,5569,1,1,0,0,0,0,3,0,0,6,0,0,0,2,0,0,1,0,2,0,0,0.9949973199928532,0.0001786671431123,0.0001786671431123,0.0,0.0,0.0,0.0,0.0005360014293371,0.0,0.0,0.0010720028586742,0.0,0.0,0.0,0.0003573342862247,0.0,0.0,0.0001786671431123,0.0,0.0003573342862247,0.0,0.0
Indonesia,Combined,2012-12-01,2012,12,5229,1,0,0,0,0,1,2,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0.9973297730307076,0.0001907304978065,0.0,0.0,0.0,0.0,0.0001907304978065,0.0003814609956131,0.0,0.0,0.0003814609956131,0.0,0.0,0.0,0.0003814609956131,0.0,0.0001907304978065,0.0001907304978065,0.0,0.0,0.0,0.0
Indonesia,Combined,2013-01-01,2013,1,5933,1,0,0,0,0,1,1,0,0,4,0,5,0,0,0,0,1,2,1,0,1,0.9951358604495136,0.0001677289500167,0.0,0.0,0.0,0.0,0.0001677289500167,0.0001677289500167,0.0,0.0,0.000670915800067,0.0,0.0008386447500838,0.0,0.0,0.0,0.0,0.0001677289500167,0.0003354579000335,0.0001677289500167,0.0,0.0001677289500167
Indonesia,Combined,2013-02-01,2013,2,5637,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,1,0,0,1,0,0.9955845990815966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008830801836806,0.0,0.0,0.0,0.0005298481102084,0.0,0.0,0.0001766160367361,0.0,0.0,0.0001766160367361,0.0
Indonesia,Combined,2013-03-01,2013,3,4877,1,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,1,1,0,0,0,0.9969337694194604,0.0002044153720359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008176614881439,0.0,0.0,0.0,0.0004088307440719,0.0,0.0,0.0002044153720359,0.0002044153720359,0.0,0.0,0.0
Indonesia,Combined,2013-04-01,2013,4,5972,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,1,0,0,0.9973279893119572,0.0001670006680026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006680026720106,0.0,0.0,0.0,0.0001670006680026,0.0,0.0001670006680026,0.0,0.0,0.0001670006680026,0.0,0.0
Indonesia,Combined,2013-05-01,2013,5,4026,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0.9953028430160692,0.0,0.0,0.0002472187886279,0.0,0.0,0.0,0.0,0.0,0.0,0.0009888751545117,0.0,0.0002472187886279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002472187886279
Indonesia,Combined,2013-06-01,2013,6,9574,2,1,1,0,0,1,0,0,0,1,0,3,0,1,0,1,2,0,1,2,0,0.9967725143154608,0.0002082248828735,0.0001041124414367,0.0001041124414367,0.0,0.0,0.0001041124414367,0.0,0.0,0.0,0.0001041124414367,0.0,0.0003123373243102,0.0,0.0001041124414367,0.0,0.0001041124414367,0.0002082248828735,0.0,0.0001041124414367,0.0002082248828735,0.0
Indonesia,Combined,2013-07-01,2013,7,10209,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,1,1,0,0.997654646731164,0.0,0.0,0.0,0.0,0.0,0.0,9.77230528681716e-05,0.0,0.0,0.0002931691586045,0.0,9.77230528681716e-05,0.0,0.0,9.77230528681716e-05,0.0,0.0,0.0,9.77230528681716e-05,9.77230528681716e-05,0.0
Indonesia,Combined,2013-08-01,2013,8,9632,1,0,0,0,0,0,1,0,0,5,0,7,0,0,0,1,0,0,1,4,0,0.9961733374702658,0.0001034233116144,0.0,0.0,0.0,0.0,0.0,0.0001034233116144,0.0,0.0,0.0005171165580721,0.0,0.000723963181301,0.0,0.0,0.0,0.0001034233116144,0.0,0.0,0.0001034233116144,0.0004136932464577,0.0
Indonesia,Combined,2013-09-01,2013,9,10513,0,2,0,2,1,5,2,0,0,6,0,2,0,0,0,0,0,0,0,7,0,0.9950780880265024,0.0,0.0001893043066729,0.0,0.0001893043066729,9.46521533364884e-05,0.0004732607666824,0.0001893043066729,0.0,0.0,0.0005679129200189,0.0,0.0001893043066729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006625650733554,0.0
Indonesia,Combined,2013-10-01,2013,10,10972,0,4,0,0,5,7,10,1,0,13,0,3,0,2,0,0,1,0,9,2,1,0.9924023154848046,0.0,0.0003617945007235,0.0,0.0,0.0004522431259044,0.0006331403762662,0.0009044862518089,9.044862518089724e-05,0.0,0.0011758321273516,0.0,0.0002713458755426,0.0,0.0001808972503617,0.0,0.0,9.044862518089724e-05,0.0,0.000814037626628,0.0001808972503617,9.044862518089724e-05
Indonesia,Combined,2013-11-01,2013,11,10397,0,0,0,0,0,1,3,0,0,6,0,9,0,1,0,0,1,0,2,1,1,0.9962629359908012,0.0,0.0,0.0,0.0,0.0,9.582215408202376e-05,0.000287466462246,0.0,0.0,0.0005749329244921,0.0,0.0008623993867382,0.0,9.582215408202376e-05,0.0,0.0,9.582215408202376e-05,0.0,0.000191644308164,9.582215408202376e-05,9.582215408202376e-05
Indonesia,Combined,2013-12-01,2013,12,9861,0,1,0,1,0,0,2,0,0,6,1,3,0,3,0,0,0,0,1,0,1,0.9968661544682572,0.0,0.0001010917913465,0.0,0.0001010917913465,0.0,0.0,0.000202183582693,0.0,0.0,0.0006065507480792,0.0001010917913465,0.0003032753740396,0.0,0.0003032753740396,0.0,0.0,0.0,0.0,0.0001010917913465,0.0,0.0001010917913465
Indonesia,Combined,2014-01-01,2014,1,10020,0,0,0,0,0,0,0,0,0,7,0,4,0,1,0,0,1,0,1,3,0,0.9963209704683306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006960326140996,0.0,0.0003977329223426,0.0,9.943323058566172e-05,0.0,0.0,9.943323058566172e-05,0.0,9.943323058566172e-05,0.0002982996917569,0.0
Indonesia,Combined,2014-02-01,2014,2,9337,0,1,0,0,3,1,5,0,0,2,0,4,0,3,0,0,0,0,3,0,0,0.9963717852950592,0.0,0.0001067121972041,0.0,0.0,0.0003201365916124,0.0001067121972041,0.0005335609860207,0.0,0.0,0.0002134243944082,0.0,0.0004268487888165,0.0,0.0003201365916124,0.0,0.0,0.0,0.0,0.0003201365916124,0.0,0.0
Indonesia,Combined,2014-03-01,2014,3,10072,0,0,0,1,1,1,6,1,0,5,0,2,0,10,0,0,0,0,0,1,0,0.9967342899554676,0.0,0.0,0.0,9.896091044037604e-05,9.896091044037604e-05,9.896091044037604e-05,0.0005937654626422,9.896091044037604e-05,0.0,0.0004948045522018,0.0,0.0001979218208807,0.0,0.0009896091044037,0.0,0.0,0.0,0.0,0.0,9.896091044037604e-05,0.0
Indonesia,Combined,2014-04-01,2014,4,10728,0,1,0,0,0,1,1,0,0,2,0,6,0,2,0,0,0,0,0,1,0,0.9981391886862672,0.0,9.304056568663938e-05,0.0,0.0,0.0,9.304056568663938e-05,9.304056568663938e-05,0.0,0.0,0.0001860811313732,0.0,0.0005582433941198,0.0,0.0001860811313732,0.0,0.0,0.0,0.0,0.0,9.304056568663938e-05,0.0
Indonesia,Combined,2014-05-01,2014,5,9909,0,0,0,1,0,1,1,0,0,2,1,3,0,8,0,1,1,0,2,2,0,0.9968812877263582,0.0,0.0,0.0,0.0001006036217303,0.0,0.0001006036217303,0.0001006036217303,0.0,0.0,0.0002012072434607,0.0001006036217303,0.0003018108651911,0.0,0.000804828973843,0.0,0.0001006036217303,0.0001006036217303,0.0,0.0002012072434607,0.0002012072434607,0.0
Indonesia,Combined,2014-06-01,2014,6,10860,0,0,0,2,0,0,4,0,0,5,0,10,0,4,1,0,0,0,0,0,0,0.9966045700651556,0.0,0.0,0.0,0.0001835367532348,0.0,0.0,0.0003670735064696,0.0,0.0,0.000458841883087,0.0,0.0009176837661741,0.0,0.0003670735064696,9.176837661741764e-05,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Combined,2014-07-01,2014,7,10210,0,1,0,0,1,1,2,0,0,1,0,5,0,0,0,0,1,0,0,1,1,0.9967782876110516,0.0,9.762764814995606e-05,0.0,0.0,9.762764814995606e-05,9.762764814995606e-05,0.0001952552962999,0.0,0.0,9.762764814995606e-05,0.0,0.0004881382407497,0.0,0.0,0.0,0.0,9.762764814995606e-05,0.0,0.0,9.762764814995606e-05,9.762764814995606e-05
Indonesia,Combined,2014-08-01,2014,8,10898,2,0,1,2,0,0,1,1,0,1,0,2,0,3,0,0,1,0,0,2,0,0.9982595951268664,0.0001832005129614,0.0,9.160025648071816e-05,0.0001832005129614,0.0,0.0,9.160025648071816e-05,9.160025648071816e-05,0.0,9.160025648071816e-05,0.0,0.0001832005129614,0.0,0.0002748007694421,0.0,0.0,9.160025648071816e-05,0.0,0.0,0.0001832005129614,0.0
Indonesia,Combined,2014-09-01,2014,9,10621,0,0,0,1,0,1,0,0,0,7,0,6,0,6,0,2,0,0,1,6,1,0.9962480067535878,0.0,0.0,0.0,9.379983116030391e-05,0.0,9.379983116030391e-05,0.0,0.0,0.0,0.0006565988181221,0.0,0.0005627989869618,0.0,0.0005627989869618,0.0,0.0001875996623206,0.0,0.0,9.379983116030391e-05,0.0005627989869618,9.379983116030391e-05
Indonesia,Combined,2014-10-01,2014,10,12008,0,3,0,0,0,0,4,0,0,4,0,5,0,3,1,0,2,1,2,9,0,0.996762679505271,0.0,0.0002490246534406,0.0,0.0,0.0,0.0,0.0003320328712542,0.0,0.0,0.0003320328712542,0.0,0.0004150410890678,0.0,0.0002490246534406,8.300821781356355e-05,0.0,0.0001660164356271,8.300821781356355e-05,0.0001660164356271,0.000747073960322,0.0
Indonesia,Combined,2014-11-01,2014,11,12617,1,0,0,2,0,5,0,0,0,11,1,15,0,2,0,0,1,0,4,0,0,0.9958954929355118,7.893282816323308e-05,0.0,0.0,0.0001578656563264,0.0,0.0003946641408161,0.0,0.0,0.0,0.0008682611097955,7.893282816323308e-05,0.0011839924224484,0.0,0.0001578656563264,0.0,0.0,7.893282816323308e-05,0.0,0.0003157313126529,0.0,0.0
Indonesia,Combined,2014-12-01,2014,12,13646,4,3,0,1,0,2,1,0,0,5,1,6,0,5,0,1,1,1,3,2,2,0.9957676590776416,0.0002918855808523,0.0002189141856392,0.0,7.297139521307647e-05,0.0,0.0001459427904261,7.297139521307647e-05,0.0,0.0,0.0003648569760653,7.297139521307647e-05,0.0004378283712784,0.0,0.0003648569760653,0.0,7.297139521307647e-05,7.297139521307647e-05,7.297139521307647e-05,0.0002189141856392,0.0001459427904261,0.0001459427904261
Indonesia,Combined,2015-01-01,2015,1,14452,0,2,0,0,0,1,1,0,0,9,1,10,0,4,0,0,0,0,0,3,0,0.9957282623673694,0.0,0.0001377979881493,0.0,0.0,0.0,6.889899407468652e-05,6.889899407468652e-05,0.0,0.0,0.0006200909466721,6.889899407468652e-05,0.0006889899407468,0.0,0.0002755959762987,0.0,0.0,0.0,0.0,0.0,0.000206696982224,0.0
Indonesia,Combined,2015-02-01,2015,2,12675,0,0,0,2,0,3,3,0,0,4,0,5,1,3,0,0,3,1,0,1,3,0.9968541093197012,0.0,0.0,0.0,0.0001572945340149,0.0,0.0002359418010224,0.0002359418010224,0.0,0.0,0.0003145890680298,0.0,0.0003932363350373,7.864726700747149e-05,0.0002359418010224,0.0,0.0,0.0002359418010224,7.864726700747149e-05,0.0,7.864726700747149e-05,0.0002359418010224
Indonesia,Combined,2015-03-01,2015,3,15115,0,0,1,2,1,2,6,2,0,18,0,8,0,1,0,1,4,0,2,1,0,0.9955868791990516,0.0,0.0,6.586747464102226e-05,0.000131734949282,6.586747464102226e-05,0.000131734949282,0.0003952048478461,0.000131734949282,0.0,0.0011856145435384,0.0,0.0005269397971281,0.0,6.586747464102226e-05,0.0,6.586747464102226e-05,0.000263469898564,0.0,0.000131734949282,6.586747464102226e-05,0.0
Indonesia,Combined,2015-04-01,2015,4,16068,1,0,0,0,0,16,8,1,0,13,1,11,0,3,0,0,2,0,1,2,1,0.9946762411786556,6.19041723412158e-05,0.0,0.0,0.0,0.0,0.0009904667574594,0.0004952333787297,6.19041723412158e-05,0.0,0.0008047542404358,6.19041723412158e-05,0.0006809458957533,0.0,0.0001857125170236,0.0,0.0,0.0001238083446824,0.0,6.19041723412158e-05,0.0001238083446824,6.19041723412158e-05
Indonesia,Combined,2015-05-01,2015,5,14858,0,1,1,0,1,2,6,2,0,7,0,10,0,5,0,1,1,0,0,1,3,0.9949109414758268,0.0,6.696129637069774e-05,6.696129637069774e-05,0.0,6.696129637069774e-05,0.0001339225927413,0.0004017677782241,0.0001339225927413,0.0,0.0004687290745948,0.0,0.0006696129637069,0.0,0.0003348064818534,0.0,6.696129637069774e-05,6.696129637069774e-05,0.0,0.0,6.696129637069774e-05,0.000200883889112
Indonesia,Combined,2015-06-01,2015,6,13662,1,1,0,0,0,0,2,0,0,7,0,15,0,2,0,0,1,0,0,0,3,0.9966442953020134,7.295010213014298e-05,7.295010213014298e-05,0.0,0.0,0.0,0.0,0.0001459002042602,0.0,0.0,0.000510650714911,0.0,0.0010942515319521,0.0,0.0001459002042602,0.0,0.0,7.295010213014298e-05,0.0,0.0,0.0,0.0002188503063904
Indonesia,Combined,2015-07-01,2015,7,11871,1,0,0,7,0,5,0,0,0,7,1,11,0,2,0,0,0,0,2,3,2,0.9955551828245556,8.386447500838645e-05,0.0,0.0,0.0005870513250587,0.0,0.0004193223750419,0.0,0.0,0.0,0.0005870513250587,8.386447500838645e-05,0.0009225092250922,0.0,0.0001677289500167,0.0,0.0,0.0,0.0,0.0001677289500167,0.0002515934250251,0.0001677289500167
Indonesia,Combined,2015-08-01,2015,8,13906,2,2,0,0,0,3,1,0,0,10,0,10,0,1,0,1,0,0,3,6,1,0.9962745378994126,0.0001432870038687,0.0001432870038687,0.0,0.0,0.0,0.0002149305058031,7.164350193437455e-05,0.0,0.0,0.0007164350193437,0.0,0.0007164350193437,0.0,7.164350193437455e-05,0.0,7.164350193437455e-05,0.0,0.0,0.0002149305058031,0.0004298610116062,7.164350193437455e-05
Indonesia,Combined,2015-09-01,2015,9,13455,2,0,0,0,0,3,5,0,1,33,0,9,0,7,0,1,2,1,4,0,0,0.9940159574468084,0.0001477541371158,0.0,0.0,0.0,0.0,0.0002216312056737,0.0003693853427895,0.0,7.387706855791962e-05,0.0024379432624113,0.0,0.0006648936170212,0.0,0.0005171394799054,0.0,7.387706855791962e-05,0.0001477541371158,7.387706855791962e-05,0.0002955082742316,0.0,0.0
Indonesia,Combined,2015-10-01,2015,10,10702,0,1,0,1,1,0,4,0,0,18,0,14,0,19,0,1,0,1,1,1,1,0.9934094495498004,0.0,9.2824654228163e-05,0.0,9.2824654228163e-05,9.2824654228163e-05,0.0,0.0003712986169126,0.0,0.0,0.0016708437761069,0.0,0.0012995451591942,0.0,0.001763668430335,0.0,9.2824654228163e-05,0.0,9.2824654228163e-05,9.2824654228163e-05,9.2824654228163e-05,9.2824654228163e-05
Indonesia,Combined,2015-11-01,2015,11,11919,5,0,0,0,3,5,17,0,0,2,0,13,0,15,0,3,0,0,3,0,0,0.9936640266777824,0.0004168403501458,0.0,0.0,0.0,0.0002501042100875,0.0004168403501458,0.001417257190496,0.0,0.0,0.0001667361400583,0.0,0.0010837849103793,0.0,0.0012505210504376,0.0,0.0002501042100875,0.0,0.0,0.0002501042100875,0.0,0.0
Indonesia,Combined,2015-12-01,2015,12,12208,1,0,0,3,0,1,3,0,0,1,0,11,1,3,0,2,0,0,2,1,0,0.996978358513679,8.166598611678236e-05,0.0,0.0,0.0002449979583503,0.0,8.166598611678236e-05,0.0002449979583503,0.0,0.0,8.166598611678236e-05,0.0,0.0008983258472846,8.166598611678236e-05,0.0002449979583503,0.0,0.0001633319722335,0.0,0.0,0.0001633319722335,8.166598611678236e-05,0.0
