country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Indonesia,Russia,2012-01-01,2012,1,3189,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0.9987472596304416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003131850923896,0.0,0.0006263701847792,0.0,0.0003131850923896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-02-01,2012,2,3832,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.9986968986187126,0.0002606202762574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007818608287724,0.0002606202762574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-03-01,2012,3,4268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9997657531037714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002342468962286,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-04-01,2012,4,4219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-05-01,2012,5,3848,1,0,0,0,0,0,0,0,1,0,2,5,0,27,0,0,0,0,0,0,0,0.9907312049433572,0.0002574665293511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002574665293511,0.0,0.0005149330587023,0.0012873326467559,0.0,0.0069515962924819,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-06-01,2012,6,3366,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0.998813056379822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008902077151335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002967359050445,0.0
Indonesia,Russia,2012-07-01,2012,7,3716,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9994620763851532,0.0,0.0,0.0,0.0,0.0,0.0,0.0002689618074233,0.0,0.0,0.0,0.0,0.0002689618074233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-08-01,2012,8,4123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999757516973812,0.0002424830261881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-09-01,2012,9,4390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-10-01,2012,10,5925,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9998312521093486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001687478906513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-11-01,2012,11,5595,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9996426657137752,0.0001786671431123,0.0001786671431123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2012-12-01,2012,12,5240,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.9994278085065802,0.0001907304978065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003814609956131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-01-01,2013,1,5962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999832299178266,0.000167700821734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-02-01,2013,2,5661,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.99964683030196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003531696980399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-03-01,2013,3,4889,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0.999182505620274,0.0002043735949315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000408747189863,0.0,0.0,0.0002043735949315,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-04-01,2013,4,5989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-05-01,2013,5,4048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-06-01,2013,6,9608,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.9995838535164376,0.0002080732417811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001040366208905,0.0,0.0,0.0,0.0001040366208905,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-07-01,2013,7,10235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-08-01,2013,8,9669,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.9997931961534484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002068038465515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-09-01,2013,9,10569,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999053926206244,0.0,0.0,0.0,0.0,0.0,9.46073793755913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-10-01,2013,10,11041,0,1,0,0,4,0,5,0,0,2,0,1,0,1,0,0,0,0,1,1,0,0.998552952880528,0.0,9.044044496698923e-05,0.0,0.0,0.0003617617798679,0.0,0.0004522022248349,0.0,0.0,0.0001808808899339,0.0,9.044044496698923e-05,0.0,9.044044496698923e-05,0.0,0.0,0.0,0.0,9.044044496698923e-05,9.044044496698923e-05,0.0
Indonesia,Russia,2013-11-01,2013,11,10430,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0.9992335696493582,0.0,0.0,0.0,0.0,0.0,9.580379383023568e-05,9.580379383023568e-05,0.0,0.0,0.0001916075876604,0.0,0.0002874113814907,0.0,0.0,0.0,0.0,9.580379383023568e-05,0.0,0.0,0.0,0.0
Indonesia,Russia,2013-12-01,2013,12,9894,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9998989388580092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001010611419909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-01-01,2014,1,10054,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.9996023066215948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001988466892026,0.0,0.0001988466892026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-02-01,2014,2,9367,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9992532536803924,0.0,0.0,0.0,0.0,0.0003200341369746,0.0,0.0003200341369746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001066780456582,0.0,0.0
Indonesia,Russia,2014-03-01,2014,3,10090,0,0,0,1,1,1,4,1,0,1,0,1,0,5,0,0,0,0,0,0,0,0.9985155863433944,0.0,0.0,0.0,9.896091044037604e-05,9.896091044037604e-05,9.896091044037604e-05,0.0003958436417615,9.896091044037604e-05,0.0,9.896091044037604e-05,0.0,9.896091044037604e-05,0.0,0.0004948045522018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-04-01,2014,4,10748,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.9997209561901218,0.0,0.0,0.0,0.0,0.0,0.0,9.301460329271696e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.301460329271696e-05,0.0,0.0,0.0,0.0,0.0,9.301460329271696e-05,0.0
Indonesia,Russia,2014-05-01,2014,5,9931,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,1,0,0,0.998994064983402,0.0,0.0,0.0,0.0,0.0,0.0001005935016597,0.0,0.0,0.0,0.0,0.0001005935016597,0.0,0.0,0.0007041545116185,0.0,0.0,0.0,0.0,0.0001005935016597,0.0,0.0
Indonesia,Russia,2014-06-01,2014,6,10894,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0.9994495412844036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002752293577981,0.0,0.0001834862385321,9.174311926605505e-05,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-07-01,2014,7,10239,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9997070884592852,0.0,9.763718023823472e-05,0.0,0.0,9.763718023823472e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.763718023823472e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-08-01,2014,8,10914,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.9997251992305578,0.0,0.0,0.0,9.160025648071816e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001832005129614,0.0
Indonesia,Russia,2014-09-01,2014,9,10654,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0,1,0,0.9992496717313823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001875820671543,0.0,0.0001875820671543,0.0,0.0002813731007315,0.0,0.0,0.0,0.0,0.0,9.379103357719002e-05,0.0
Indonesia,Russia,2014-10-01,2014,10,12040,0,1,0,0,0,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0.99933598937583,0.0,8.300132802124833e-05,0.0,0.0,0.0,0.0,0.0001660026560424,0.0,0.0,0.0001660026560424,0.0,8.300132802124833e-05,0.0,8.300132802124833e-05,8.300132802124833e-05,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-11-01,2014,11,12661,0,0,0,0,0,1,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0.9992107963065268,0.0,0.0,0.0,0.0,0.0,7.892036934732854e-05,0.0,0.0,0.0,0.0004735222160839,7.892036934732854e-05,0.0001578407386946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2014-12-01,2014,12,13709,1,0,0,0,0,1,0,0,0,4,1,4,0,3,0,0,0,0,3,2,1,0.9984705025491624,7.283321194464675e-05,0.0,0.0,0.0,0.0,7.283321194464675e-05,0.0,0.0,0.0,0.0002913328477785,7.283321194464675e-05,0.0002913328477785,0.0,0.0002184996358339,0.0,0.0,0.0,0.0,0.0002184996358339,0.0001456664238892,7.283321194464675e-05
Indonesia,Russia,2015-01-01,2015,1,14508,0,0,0,0,0,1,0,0,0,2,1,6,0,3,0,0,0,0,0,0,0,0.9990359454620577,0.0,0.0,0.0,0.0,0.0,6.886103842445945e-05,0.0,0.0,0.0,0.0001377220768489,6.886103842445945e-05,0.0004131662305467,0.0,0.0002065831152733,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2015-02-01,2015,2,12712,0,0,0,1,0,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0.99937106918239,0.0,0.0,0.0,7.861635220125786e-05,0.0,7.861635220125786e-05,7.861635220125786e-05,0.0,0.0,0.0,0.0,7.861635220125786e-05,7.861635220125786e-05,0.0001572327044025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,Russia,2015-03-01,2015,3,15175,0,0,1,1,0,0,0,1,0,2,0,2,0,1,0,0,1,0,1,0,0,0.9992756486237324,0.0,0.0,6.585012511523772e-05,6.585012511523772e-05,0.0,0.0,0.0,6.585012511523772e-05,0.0,0.0001317002502304,0.0,0.0001317002502304,0.0,6.585012511523772e-05,0.0,0.0,6.585012511523772e-05,0.0,6.585012511523772e-05,0.0,0.0
