country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Kazakhstan,China,2012-01-01,2012,1,1538,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.9961139896373056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006476683937823,0.0,0.0006476683937823,0.0,0.0,0.0,0.0,0.0006476683937823,0.0,0.0,0.0,0.0
Kazakhstan,China,2012-02-01,2012,2,1574,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0.9943145925457992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018951358180669,0.0006317119393556,0.0006317119393556,0.0,0.0,0.0,0.0,0.0006317119393556,0.0,0.0,0.0,0.0
Kazakhstan,China,2012-03-01,2012,3,1501,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.9960185799601858,0.0006635700066357,0.0,0.0,0.0,0.0006635700066357,0.0,0.0,0.0,0.0,0.0019907100199071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,China,2012-04-01,2012,4,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9974937343358397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006265664160401,0.0,0.0,0.0,0.0
Kazakhstan,China,2012-05-01,2012,5,1611,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,0.9944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012345679012345,0.0,0.0,0.0,0.0024691358024691,0.0,0.0,0.0,0.0,0.0,0.0012345679012345,0.0
Kazakhstan,China,2012-06-01,2012,6,1641,0,0,0,0,0,0,1,0,3,3,0,2,0,1,0,0,1,0,0,0,1,0.9915407854984896,0.0,0.0,0.0,0.0,0.0,0.0,0.0006042296072507,0.0,0.0018126888217522,0.0018126888217522,0.0,0.0012084592145015,0.0,0.0006042296072507,0.0,0.0,0.0006042296072507,0.0,0.0,0.0,0.0006042296072507
Kazakhstan,China,2012-07-01,2012,7,1505,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9980106100795756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006631299734748,0.0,0.0006631299734748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,China,2012-08-01,2012,8,1530,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9947984395318596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006501950585175,0.0,0.0006501950585175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,China,2012-09-01,2012,9,1141,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0.9930374238468234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017406440382941,0.0,0.0,0.0,0.0,0.0,0.0,0.000870322019147,0.0,0.0017406440382941,0.0,0.0
Kazakhstan,China,2012-10-01,2012,10,1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9958881578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,China,2012-11-01,2012,11,1443,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9890335846470184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013708019191226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kazakhstan,China,2012-12-01,2012,12,1165,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0.9923339011925044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025553662691652,0.0,0.0,0.0,0.0,0.0,0.0,0.0008517887563884,0.0,0.0,0.0,0.0
