country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Kazakhstan,Combined,2012-01-01,2012,1,1522,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,2,1,2,0,1,0.9857512953367876,0.0,0.0,0.0,0.0,0.0,0.0006476683937823,0.0,0.0,0.0,0.0006476683937823,0.0,0.0012953367875647,0.0,0.0006476683937823,0.0,0.0,0.0012953367875647,0.0006476683937823,0.0012953367875647,0.0,0.0006476683937823
Kazakhstan,Combined,2012-02-01,2012,2,1571,0,0,0,0,0,0,0,0,0,3,1,1,0,2,0,0,2,0,0,0,0,0.9917929292929292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018939393939393,0.0006313131313131,0.0006313131313131,0.0,0.0012626262626262,0.0,0.0,0.0012626262626262,0.0,0.0,0.0,0.0
Kazakhstan,Combined,2012-03-01,2012,3,1500,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0.9946949602122016,0.0006631299734748,0.0,0.0,0.0,0.0006631299734748,0.0,0.0,0.0,0.0,0.0019893899204244,0.0,0.0,0.0,0.0,0.0,0.0,0.0006631299734748,0.0,0.0,0.0,0.0006631299734748
Kazakhstan,Combined,2012-04-01,2012,4,1586,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0.993734335839599,0.0,0.0006265664160401,0.0,0.0006265664160401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006265664160401,0.0,0.0,0.0,0.0,0.0012531328320802,0.0,0.0006265664160401,0.0,0.0
Kazakhstan,Combined,2012-05-01,2012,5,1604,0,0,1,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,2,2,0.9907350216182828,0.0,0.0,0.0006176652254478,0.0,0.0,0.0,0.0,0.0,0.0,0.0012353304508956,0.0,0.0,0.0,0.0043236565781346,0.0,0.0,0.0,0.0,0.0,0.0012353304508956,0.0012353304508956
Kazakhstan,Combined,2012-06-01,2012,6,1629,0,0,0,0,0,2,0,0,3,3,0,3,0,2,0,0,3,0,1,0,1,0.9842900302114804,0.0,0.0,0.0,0.0,0.0,0.0012084592145015,0.0,0.0,0.0018126888217522,0.0018126888217522,0.0,0.0018126888217522,0.0,0.0012084592145015,0.0,0.0,0.0018126888217522,0.0,0.0006042296072507,0.0,0.0006042296072507
Kazakhstan,Combined,2012-07-01,2012,7,1492,0,0,0,0,0,0,1,1,0,1,0,3,0,0,2,2,0,0,0,1,0,0.9907038512616202,0.0,0.0,0.0,0.0,0.0,0.0,0.0006640106241699,0.0006640106241699,0.0,0.0006640106241699,0.0,0.0019920318725099,0.0,0.0,0.0013280212483399,0.0013280212483399,0.0,0.0,0.0,0.0006640106241699,0.0
Kazakhstan,Combined,2012-08-01,2012,8,1525,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0.9915474642392718,0.0,0.0,0.0,0.0013003901170351,0.0,0.0,0.0,0.0,0.0,0.0006501950585175,0.0,0.0006501950585175,0.0,0.0,0.0,0.0,0.0006501950585175,0.0,0.0,0.0006501950585175,0.0
Kazakhstan,Combined,2012-09-01,2012,9,1130,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,1,2,0,2,1,0,0.9834638816362054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026109660574412,0.0,0.0,0.000870322019147,0.0017406440382941,0.0,0.000870322019147,0.0017406440382941,0.0,0.0017406440382941,0.000870322019147,0.0
Kazakhstan,Combined,2012-10-01,2012,10,1202,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,1,0.9884868421052632,0.0008223684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0008223684210526,0.0,0.0016447368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0032894736842105,0.0,0.0,0.0,0.0008223684210526
Kazakhstan,Combined,2012-11-01,2012,11,1435,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0.9835503769705276,0.0,0.0,0.0,0.0006854009595613,0.0,0.0006854009595613,0.0,0.0006854009595613,0.0,0.002056202878684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013708019191226,0.0006854009595613,0.0
Kazakhstan,Combined,2012-12-01,2012,12,1155,1,0,0,1,0,0,0,0,1,3,0,0,0,1,0,0,1,0,1,0,0,0.98381601362862,0.0008517887563884,0.0,0.0,0.0008517887563884,0.0,0.0,0.0,0.0,0.0008517887563884,0.0025553662691652,0.0,0.0,0.0,0.0008517887563884,0.0,0.0,0.0008517887563884,0.0,0.0008517887563884,0.0,0.0
Kazakhstan,Combined,2013-01-01,2013,1,1187,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,2,0,1,3,0,0.9883430474604497,0.0,0.0,0.0,0.0,0.0,0.0008326394671107,0.0,0.0,0.0,0.0016652789342214,0.0,0.0,0.0,0.0008326394671107,0.0,0.0008326394671107,0.0016652789342214,0.0,0.0008326394671107,0.0024979184013322,0.0
Kazakhstan,Combined,2013-02-01,2013,2,1429,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0.9861973775017252,0.0,0.0,0.0,0.0,0.0006901311249137,0.0006901311249137,0.0013802622498274,0.0,0.0,0.0006901311249137,0.0,0.0,0.0,0.0,0.0,0.0006901311249137,0.0006901311249137,0.0,0.0006901311249137,0.0006901311249137,0.0006901311249137
Kazakhstan,Combined,2013-03-01,2013,3,1542,1,0,0,0,0,2,0,2,1,2,0,2,0,1,0,0,1,0,1,0,0,0.9910025706940874,0.0006426735218508,0.0,0.0,0.0,0.0,0.0012853470437017,0.0,0.0012853470437017,0.0006426735218508,0.0012853470437017,0.0,0.0012853470437017,0.0,0.0006426735218508,0.0,0.0,0.0006426735218508,0.0,0.0006426735218508,0.0,0.0
Kazakhstan,Combined,2013-04-01,2013,4,1670,1,0,0,1,0,4,3,0,0,4,0,3,1,2,0,2,1,0,1,5,0,0.9800469483568076,0.0005868544600938,0.0,0.0,0.0005868544600938,0.0,0.0023474178403755,0.0017605633802816,0.0,0.0,0.0023474178403755,0.0,0.0017605633802816,0.0005868544600938,0.0011737089201877,0.0,0.0011737089201877,0.0005868544600938,0.0,0.0005868544600938,0.0029342723004694,0.0
Kazakhstan,Combined,2013-05-01,2013,5,1698,1,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,2,1,0,2,0,0.9889341875364008,0.0005824111822947,0.0,0.0,0.0011648223645894,0.0,0.0005824111822947,0.0,0.0,0.0,0.0,0.0,0.0017472335468841,0.0,0.0,0.0,0.0,0.0011648223645894,0.0005824111822947,0.0,0.0011648223645894,0.0
Kazakhstan,Combined,2013-06-01,2013,6,1630,2,0,0,0,0,1,0,3,0,5,0,1,1,1,0,2,0,1,0,2,0,0.9860859044162128,0.0012099213551119,0.0,0.0,0.0,0.0,0.0006049606775559,0.0,0.0018148820326678,0.0,0.0030248033877797,0.0,0.0006049606775559,0.0006049606775559,0.0006049606775559,0.0,0.0012099213551119,0.0,0.0006049606775559,0.0,0.0012099213551119,0.0
Kazakhstan,Combined,2013-07-01,2013,7,1661,0,0,0,3,0,0,3,0,0,7,1,1,0,8,0,1,1,0,2,4,1,0.9793632075471698,0.0,0.0,0.0,0.0017688679245283,0.0,0.0,0.0017688679245283,0.0,0.0,0.004127358490566,0.0005896226415094,0.0005896226415094,0.0,0.0047169811320754,0.0,0.0005896226415094,0.0005896226415094,0.0,0.0011792452830188,0.0023584905660377,0.0005896226415094
Kazakhstan,Combined,2013-08-01,2013,8,1648,0,0,1,9,0,2,1,2,0,1,0,3,0,2,0,0,0,1,6,2,0,0.9821215733015496,0.0,0.0,0.000595947556615,0.0053635280095351,0.0,0.00119189511323,0.000595947556615,0.00119189511323,0.0,0.000595947556615,0.0,0.001787842669845,0.0,0.00119189511323,0.0,0.0,0.0,0.000595947556615,0.0035756853396901,0.00119189511323,0.0
Kazakhstan,Combined,2013-09-01,2013,9,1601,0,0,0,2,1,3,2,2,0,21,0,3,0,4,0,0,5,0,4,0,4,0.9662039831019916,0.0,0.0,0.0,0.0012070006035003,0.0006035003017501,0.0018105009052504,0.0012070006035003,0.0012070006035003,0.0,0.0126735063367531,0.0,0.0018105009052504,0.0,0.0024140012070006,0.0,0.0,0.0030175015087507,0.0,0.0024140012070006,0.0,0.0024140012070006
