country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Kyrgyzstan,Russia,2012-01-01,2012,1,1867,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,5,1,0,0.9925571504518872,0.0015948963317384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005316321105794,0.0010632642211589,0.0,0.0,0.0,0.0,0.0,0.0010632642211589,0.0,0.0,0.0026581605528973,0.0005316321105794,0.0
Kyrgyzstan,Russia,2012-02-01,2012,2,2001,2,1,0,1,0,6,3,1,1,3,0,1,0,2,0,0,1,0,0,1,3,0.9871731623088308,0.0009866798223976,0.0004933399111988,0.0,0.0004933399111988,0.0,0.0029600394671928,0.0014800197335964,0.0004933399111988,0.0004933399111988,0.0014800197335964,0.0,0.0004933399111988,0.0,0.0009866798223976,0.0,0.0,0.0004933399111988,0.0,0.0,0.0004933399111988,0.0014800197335964
Kyrgyzstan,Russia,2012-03-01,2012,3,1948,3,0,0,0,0,1,0,1,0,10,0,0,1,2,2,1,1,0,1,0,1,0.9878296146044624,0.0015212981744421,0.0,0.0,0.0,0.0,0.0005070993914807,0.0,0.0005070993914807,0.0,0.0050709939148073,0.0,0.0,0.0005070993914807,0.0010141987829614,0.0010141987829614,0.0005070993914807,0.0005070993914807,0.0,0.0005070993914807,0.0,0.0005070993914807
Kyrgyzstan,Russia,2012-04-01,2012,4,1616,0,1,0,1,4,8,4,6,1,14,0,2,0,1,0,3,1,0,3,1,2,0.9688249400479616,0.0,0.000599520383693,0.0,0.000599520383693,0.0023980815347721,0.0047961630695443,0.0023980815347721,0.0035971223021582,0.000599520383693,0.0083932853717026,0.0,0.001199040767386,0.0,0.000599520383693,0.0,0.0017985611510791,0.000599520383693,0.0,0.0017985611510791,0.000599520383693,0.001199040767386
Kyrgyzstan,Russia,2012-05-01,2012,5,1660,2,1,0,2,0,2,3,0,0,4,0,0,0,0,1,0,1,0,4,0,0,0.988095238095238,0.0011904761904761,0.000595238095238,0.0,0.0011904761904761,0.0,0.0011904761904761,0.0017857142857142,0.0,0.0,0.0023809523809523,0.0,0.0,0.0,0.0,0.000595238095238,0.0,0.000595238095238,0.0,0.0023809523809523,0.0,0.0
Kyrgyzstan,Russia,2012-06-01,2012,6,1693,0,2,0,0,0,3,4,1,0,1,0,1,0,0,0,1,1,0,2,1,1,0.98947983635301,0.0,0.0011689070718877,0.0,0.0,0.0,0.0017533606078316,0.0023378141437755,0.0005844535359438,0.0,0.0005844535359438,0.0,0.0005844535359438,0.0,0.0,0.0,0.0005844535359438,0.0005844535359438,0.0,0.0011689070718877,0.0005844535359438,0.0005844535359438
Kyrgyzstan,Russia,2012-07-01,2012,7,1626,1,0,0,1,0,0,2,0,4,11,0,5,0,2,0,1,4,0,3,0,0,0.9795180722891568,0.0006024096385542,0.0,0.0,0.0006024096385542,0.0,0.0,0.0012048192771084,0.0,0.0024096385542168,0.0066265060240963,0.0,0.003012048192771,0.0,0.0012048192771084,0.0,0.0006024096385542,0.0024096385542168,0.0,0.0018072289156626,0.0,0.0
Kyrgyzstan,Russia,2012-08-01,2012,8,1850,0,0,0,1,2,4,1,4,2,8,0,3,0,3,0,1,1,0,1,0,0,0.983519404572036,0.0,0.0,0.0,0.0005316321105794,0.0010632642211589,0.0021265284423179,0.0005316321105794,0.0021265284423179,0.0010632642211589,0.0042530568846358,0.0,0.0015948963317384,0.0,0.0015948963317384,0.0,0.0005316321105794,0.0005316321105794,0.0,0.0005316321105794,0.0,0.0
Kyrgyzstan,Russia,2012-09-01,2012,9,1964,1,0,0,0,0,18,3,5,3,18,0,4,0,6,0,6,2,0,9,0,1,0.9627450980392156,0.0004901960784313,0.0,0.0,0.0,0.0,0.0088235294117647,0.0014705882352941,0.0024509803921568,0.0014705882352941,0.0088235294117647,0.0,0.0019607843137254,0.0,0.0029411764705882,0.0,0.0029411764705882,0.0009803921568627,0.0,0.0044117647058823,0.0,0.0004901960784313
Kyrgyzstan,Russia,2012-10-01,2012,10,2367,0,0,0,1,1,4,2,0,4,9,0,1,0,1,0,1,2,0,2,0,0,0.9883089770354906,0.0,0.0,0.0,0.0004175365344467,0.0004175365344467,0.001670146137787,0.0008350730688935,0.0,0.001670146137787,0.0037578288100208,0.0,0.0004175365344467,0.0,0.0004175365344467,0.0,0.0004175365344467,0.0008350730688935,0.0,0.0008350730688935,0.0,0.0
