country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Mali,Combined,2012-01-01,2012,1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994413407821229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2012-02-01,2012,2,259,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9961538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2012-03-01,2012,3,624,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9904761904761904,0.0,0.0,0.0,0.0,0.0015873015873015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2012-04-01,2012,4,1674,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9964285714285714,0.0,0.0,0.0,0.0,0.0,0.0011904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2012-05-01,2012,5,1564,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998085513720485,0.0,0.0,0.0,0.0,0.0012763241863433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2012-06-01,2012,6,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991150442477876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2012-07-01,2012,7,1391,0,0,0,0,0,4,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.9907407407407408,0.0,0.0,0.0,0.0,0.0,0.0028490028490028,0.0014245014245014,0.0,0.0007122507122507,0.0,0.0,0.0,0.0,0.0007122507122507,0.0,0.0,0.0,0.0007122507122507,0.0,0.0,0.0
Mali,Combined,2012-08-01,2012,8,923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9989177489177488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001082251082251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2012-09-01,2012,9,1305,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0.99694423223835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007639419404125,0.0,0.0,0.0,0.0007639419404125,0.0,0.0,0.0,0.0,0.0,0.001527883880825,0.0,0.0,0.0
Mali,Combined,2012-10-01,2012,10,1769,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9994350282485877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005649717514124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2012-11-01,2012,11,1527,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0.9947882736156352,0.0006514657980456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003257328990228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006514657980456,0.0006514657980456,0.0,0.0
Mali,Combined,2012-12-01,2012,12,909,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.9912758996728462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021810250817884,0.0,0.0,0.0,0.0,0.0010905125408942,0.0,0.0
Mali,Combined,2013-01-01,2013,1,4123,1,0,0,0,0,1,2,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0.9851851851851852,0.0002389486260454,0.0,0.0,0.0,0.0,0.0002389486260454,0.0004778972520908,0.0,0.0,0.0,0.0,0.0004778972520908,0.0,0.001194743130227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,Combined,2013-02-01,2013,2,2247,3,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0.9938080495356038,0.0013268465280849,0.0,0.0,0.0,0.0,0.0,0.0008845643520566,0.0,0.0008845643520566,0.0,0.0,0.0004422821760283,0.0,0.0,0.0004422821760283,0.0,0.0,0.0004422821760283,0.0,0.0,0.0
