country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Mexico,China,2012-01-01,2012,1,1182,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9991546914623838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008453085376162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,China,2012-02-01,2012,2,1356,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0.9948642699926632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007336757153338,0.0014673514306676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007336757153338,0.0007336757153338,0.0
Mexico,China,2012-03-01,2012,3,1602,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,1,0.9907235621521336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006184291898577,0.0,0.0018552875695732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012368583797155,0.0006184291898577
Mexico,China,2012-04-01,2012,4,1530,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0.9947984395318596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006501950585175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032509752925877,0.0
Mexico,China,2012-05-01,2012,5,1820,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9978070175438596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000548245614035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,China,2012-06-01,2012,6,2189,1,2,0,0,1,2,1,0,2,0,0,2,0,1,0,0,1,0,1,1,0,0.9927437641723356,0.000453514739229,0.000907029478458,0.0,0.0,0.000453514739229,0.000907029478458,0.000453514739229,0.0,0.000907029478458,0.0,0.0,0.000907029478458,0.0,0.000453514739229,0.0,0.0,0.000453514739229,0.0,0.000453514739229,0.000453514739229,0.0
Mexico,China,2012-07-01,2012,7,1823,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9983570646221248,0.0,0.0,0.0,0.0005476451259583,0.0,0.0,0.0,0.0,0.0,0.0005476451259583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005476451259583,0.0
Mexico,China,2012-08-01,2012,8,1715,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.9965136548518304,0.0,0.0,0.0,0.0,0.0,0.0005810575246949,0.0,0.0,0.0,0.0011621150493898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005810575246949,0.0,0.0
Mexico,China,2012-09-01,2012,9,1512,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9973614775725592,0.0,0.0,0.0,0.0,0.0,0.0,0.0006596306068601,0.0,0.0,0.0013192612137203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,China,2012-10-01,2012,10,2771,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0.9917680744452398,0.0,0.0003579098067287,0.0,0.0,0.0,0.0,0.0007158196134574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010737294201861,0.0010737294201861,0.0
Mexico,China,2012-11-01,2012,11,3368,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0.993510324483776,0.0,0.0,0.0,0.0002949852507374,0.0,0.0,0.0,0.0,0.0,0.0005899705014749,0.0,0.0,0.0,0.0,0.0,0.0,0.0002949852507374,0.0,0.0005899705014749,0.0002949852507374,0.0
Mexico,China,2012-12-01,2012,12,2980,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.997322623828648,0.0,0.0,0.0,0.000334672021419,0.0,0.0,0.0,0.000334672021419,0.0,0.000669344042838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,China,2013-01-01,2013,1,3356,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0.9885125184094256,0.0,0.0,0.0002945508100147,0.0,0.0,0.0,0.0,0.0,0.0,0.0005891016200294,0.0,0.0002945508100147,0.0,0.0,0.0,0.0,0.0002945508100147,0.0,0.0005891016200294,0.0,0.0
Mexico,China,2013-02-01,2013,2,3509,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.9929258630447084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005659309564233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,China,2013-03-01,2013,3,3581,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0.9958286985539488,0.0,0.0,0.0,0.0,0.0,0.00027808676307,0.0,0.0,0.0,0.0008342602892102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027808676307,0.0,0.0
Mexico,China,2013-04-01,2013,4,3732,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,1,0,6,0,0,0.989133315663928,0.0,0.0,0.0,0.0,0.0,0.0002650410813676,0.0002650410813676,0.0002650410813676,0.0,0.0007951232441028,0.0,0.0,0.0,0.0,0.0,0.0,0.0002650410813676,0.0,0.0015902464882056,0.0,0.0
Mexico,China,2013-05-01,2013,5,3673,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0.992971073263044,0.0,0.0,0.0,0.0,0.0,0.0016220600162206,0.0,0.0,0.0,0.001081373344147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008110300081103,0.0,0.0
Mexico,China,2013-06-01,2013,6,3382,0,0,0,0,0,16,7,1,0,4,0,5,0,1,0,1,2,0,6,1,0,0.984570596797671,0.0,0.0,0.0,0.0,0.0,0.0046579330422125,0.0020378457059679,0.0002911208151382,0.0,0.0011644832605531,0.0,0.0014556040756914,0.0,0.0002911208151382,0.0,0.0002911208151382,0.0005822416302765,0.0,0.0017467248908296,0.0002911208151382,0.0
Mexico,China,2013-07-01,2013,7,3551,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0.990239821528165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005577244841048,0.0002788622420524,0.0002788622420524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
