country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Mexico,Russia,2012-01-01,2012,1,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.985641891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-02-01,2012,2,1349,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9890029325513195,0.0,0.0,0.0,0.0,0.000733137829912,0.0,0.0,0.0,0.0,0.0,0.0,0.000733137829912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-03-01,2012,3,1598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.987029030265596,0.0006176652254478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006176652254478,0.0
Mexico,Russia,2012-04-01,2012,4,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9850552306692656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-05-01,2012,5,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-06-01,2012,6,2154,0,0,0,2,2,2,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0.9759855006796556,0.0,0.0,0.0,0.0009062075215224,0.0009062075215224,0.0009062075215224,0.0009062075215224,0.0,0.0004531037607612,0.0,0.0,0.0004531037607612,0.0,0.0004531037607612,0.0,0.0004531037607612,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-07-01,2012,7,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9819277108433736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-08-01,2012,8,1689,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.980836236933798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005807200929152,0.0,0.0,0.0,0.0005807200929152,0.0,0.0,0.0,0.0,0.0,0.0,0.0005807200929152
Mexico,Russia,2012-09-01,2012,9,1494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9835418038183016,0.0,0.0,0.0,0.0,0.0,0.0006583278472679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-10-01,2012,10,2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9885468861846816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-11-01,2012,11,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9899705014749264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2012-12-01,2012,12,2962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9912985274431058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000334672021419,0.0,0.0
Mexico,Russia,2013-01-01,2013,1,3360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9893992932862192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002944640753828
Mexico,Russia,2013-02-01,2013,2,3489,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.986987270155587,0.0,0.0,0.0,0.0,0.0,0.0,0.0002828854314002,0.0,0.0,0.0,0.0,0.0002828854314002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2013-03-01,2013,3,3571,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0.9924958310172318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002779321845469,0.0,0.0002779321845469,0.0,0.0002779321845469,0.0,0.0,0.0,0.0,0.0,0.0,0.0005558643690939
Mexico,Russia,2013-04-01,2013,4,3725,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,3,1,0.9867549668874172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010596026490066,0.0,0.0002649006622516,0.0,0.0002649006622516,0.0,0.0,0.0,0.0,0.0,0.0007947019867549,0.0002649006622516
Mexico,Russia,2013-05-01,2013,5,3668,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9910834909483924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002701972439881,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2013-06-01,2013,6,3413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9933061699650756,0.0002910360884749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2013-07-01,2013,7,3535,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0.9852285395763656,0.0,0.0,0.0,0.0002787068004459,0.0,0.0002787068004459,0.0,0.0,0.0,0.0002787068004459,0.0005574136008918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2013-08-01,2013,8,3409,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9855449551893612,0.0,0.0,0.0,0.0002891008962127,0.0,0.0002891008962127,0.0,0.0,0.0,0.0002891008962127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2013-09-01,2013,9,3587,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9792519792519792,0.0002730002730002,0.0,0.0,0.0,0.0,0.0008190008190008,0.0,0.0,0.0,0.0,0.0,0.0002730002730002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2013-10-01,2013,10,3891,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.985312737401874,0.0,0.0,0.0,0.0005064573309698,0.0,0.0,0.0,0.0,0.0,0.0,0.0002532286654849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,Russia,2013-11-01,2013,11,3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.9879240943070732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005750431282346,0.0,0.0,0.0,0.0002875215641173,0.0,0.0
Mexico,Russia,2013-12-01,2013,12,3065,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.989028718941594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003226847370119,0.0,0.0,0.0003226847370119,0.0,0.0,0.0,0.0
Mexico,Russia,2014-01-01,2014,1,3469,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0.9849517319704714,0.0,0.0,0.0,0.0,0.0,0.0,0.0002839295854628,0.0,0.0,0.0011357183418512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005678591709256,0.0
Mexico,Russia,2014-02-01,2014,2,3433,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0.9867778097154356,0.0,0.0,0.0,0.0,0.0,0.0002874389192296,0.0,0.0002874389192296,0.0,0.0,0.0,0.0,0.0,0.0005748778384593,0.0,0.0,0.0,0.0,0.0,0.0005748778384593,0.0
Mexico,Russia,2014-03-01,2014,3,3444,0,0,0,0,0,0,2,1,0,1,0,1,0,14,1,0,0,0,2,6,1,0.9820359281437124,0.0,0.0,0.0,0.0,0.0,0.0,0.0005702879954376,0.0002851439977188,0.0,0.0002851439977188,0.0,0.0002851439977188,0.0,0.0039920159680638,0.0002851439977188,0.0,0.0,0.0,0.0005702879954376,0.001710863986313,0.0002851439977188
