country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Morocco,Combined,2012-01-01,2012,1,1891,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998416050686378,0.0,0.0,0.0,0.0,0.0010559662090813,0.0,0.0005279831045406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2012-02-01,2012,2,1743,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9971395881006864,0.0,0.0,0.0,0.0,0.0005720823798627,0.0,0.0,0.0,0.0,0.0011441647597254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2012-03-01,2012,3,1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9989112683723462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005443658138268,0.0,0.0,0.0,0.0
Morocco,Combined,2012-04-01,2012,4,1807,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.996141124586549,0.0,0.0,0.0,0.0,0.0016538037486218,0.0005512679162072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005512679162072,0.0,0.0,0.0,0.0005512679162072,0.0,0.0
Morocco,Combined,2012-05-01,2012,5,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9994538503549972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005461496450027,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2012-06-01,2012,6,1648,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9975786924939468,0.0,0.0,0.0,0.0,0.0,0.0,0.0006053268765133,0.0,0.0,0.0006053268765133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006053268765133,0.0
Morocco,Combined,2012-07-01,2012,7,1611,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.9981412639405204,0.0,0.0,0.0,0.0,0.0,0.0,0.0006195786864931,0.0,0.0,0.0,0.0012391573729863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2012-08-01,2012,8,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.9987080103359172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006459948320413,0.0,0.0,0.0006459948320413,0.0
Morocco,Combined,2012-09-01,2012,9,1541,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.9980569948186528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012953367875647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2012-10-01,2012,10,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9987608426270136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006195786864931,0.0,0.0,0.0,0.0
Morocco,Combined,2012-11-01,2012,11,1708,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9982466393921684,0.0005844535359438,0.0,0.0,0.0,0.0,0.0005844535359438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2012-12-01,2012,12,1716,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9982547993019196,0.0,0.0,0.0,0.0,0.0,0.0,0.0005817335660267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2013-01-01,2013,1,1584,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9987389659520808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006305170239596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2013-02-01,2013,2,1513,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.9967061923583662,0.0,0.0,0.0,0.0006587615283267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006587615283267,0.0,0.0006587615283267,0.0,0.0,0.0,0.0,0.0006587615283267,0.0,0.0
Morocco,Combined,2013-03-01,2013,3,1605,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9981343283582088,0.0,0.0,0.0,0.0,0.0,0.0006218905472636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2013-04-01,2013,4,1718,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9982568274259151,0.0,0.0,0.0,0.0,0.0,0.0005810575246949,0.0005810575246949,0.0,0.0,0.0,0.0,0.0,0.0005810575246949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2013-05-01,2013,5,1762,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.998300283286119,0.0,0.0,0.0,0.0,0.0,0.0005665722379603,0.0,0.0,0.0,0.0,0.0,0.0005665722379603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005665722379603
Morocco,Combined,2013-06-01,2013,6,1634,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975579975579976,0.0,0.0,0.0,0.0,0.0012210012210012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2013-07-01,2013,7,1877,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.9984042553191488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001063829787234,0.0,0.0,0.0,0.000531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2013-08-01,2013,8,1354,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.9970544918998528,0.0,0.0,0.0,0.0,0.0,0.0,0.0007363770250368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007363770250368,0.0,0.0,0.0007363770250368,0.0
Morocco,Combined,2013-09-01,2013,9,1629,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9981617647058824,0.0,0.0,0.0,0.0,0.0012254901960784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2013-10-01,2013,10,1508,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9993373094764744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006626905235255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2013-11-01,2013,11,1206,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,1,0,0,0,1,0.9917763157894736,0.0,0.0,0.0,0.0,0.0,0.0008223684210526,0.0,0.0,0.0,0.0,0.0008223684210526,0.0016447368421052,0.0,0.0,0.0016447368421052,0.0,0.0008223684210526,0.0,0.0,0.0,0.0008223684210526
Morocco,Combined,2013-12-01,2013,12,1068,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9953401677539608,0.0,0.0,0.0,0.0,0.0,0.0,0.0009319664492078,0.0009319664492078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009319664492078,0.0,0.0,0.0,0.0
Morocco,Combined,2014-01-01,2014,1,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.998470168281489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005099439061703,0.0,0.0005099439061703,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2014-02-01,2014,2,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994148624926856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2014-03-01,2014,3,1633,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9981662591687042,0.0,0.0,0.0,0.0,0.0,0.0006112469437652,0.0,0.0006112469437652,0.0,0.0006112469437652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2014-04-01,2014,4,1971,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0.9964610717896866,0.0,0.0,0.0,0.0,0.0005055611729019,0.0,0.0,0.0,0.0,0.0010111223458038,0.0,0.0,0.0,0.0005055611729019,0.0,0.0,0.0005055611729019,0.0,0.0,0.0,0.0
Morocco,Combined,2014-05-01,2014,5,1750,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0.9982886480319452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005704506560182,0.0,0.0,0.0,0.0,0.0,0.0,0.0011409013120365,0.0,0.0
Morocco,Combined,2014-06-01,2014,6,1584,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0.9956002514142048,0.0,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0012570710245128,0.0,0.0,0.0,0.0012570710245128,0.0,0.0,0.0,0.0,0.0,0.0006285355122564,0.0006285355122564,0.0,0.0
Morocco,Combined,2014-07-01,2014,7,1779,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0.996080627099664,0.0,0.0,0.0,0.0011198208286674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016797312430011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005599104143337,0.0
Morocco,Combined,2014-08-01,2014,8,1626,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0.9963235294117648,0.0,0.0,0.0,0.0,0.0,0.0006127450980392,0.0,0.0006127450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006127450980392,0.0012254901960784,0.0
Morocco,Combined,2014-09-01,2014,9,1698,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0.9947275922671354,0.0,0.0,0.0,0.0,0.0,0.0005858230814294,0.0,0.0,0.0005858230814294,0.0,0.0,0.0,0.0,0.0005858230814294,0.0,0.0,0.0,0.0,0.0011716461628588,0.0005858230814294,0.0
Morocco,Combined,2014-10-01,2014,10,1869,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9989310529128808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005344735435595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2014-11-01,2014,11,1698,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9970640046975924,0.0,0.0005871990604815,0.0,0.0,0.0,0.0005871990604815,0.0,0.0,0.0,0.0005871990604815,0.0,0.0,0.0,0.0005871990604815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2014-12-01,2014,12,1735,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.9971264367816092,0.0,0.0,0.0,0.0,0.0,0.0011494252873563,0.0005747126436781,0.0,0.0,0.0,0.0,0.0005747126436781,0.0,0.0,0.0,0.0,0.0,0.0,0.0005747126436781,0.0,0.0
Morocco,Combined,2015-01-01,2015,1,1985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9984909456740444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005030181086519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005030181086519,0.0,0.0,0.0
Morocco,Combined,2015-02-01,2015,2,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.9981167608286252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006277463904582,0.0,0.0,0.0006277463904582,0.0,0.0,0.0,0.0
Morocco,Combined,2015-03-01,2015,3,2513,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9992047713717692,0.0,0.0,0.0,0.0,0.0,0.0,0.0003976143141153,0.0,0.0,0.0003976143141153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2015-04-01,2015,4,2440,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0.9975470155355682,0.0,0.0,0.0,0.0,0.0,0.0004088307440719,0.0,0.0,0.0,0.0004088307440719,0.0,0.0004088307440719,0.0,0.0,0.0,0.0,0.0004088307440719,0.0,0.0004088307440719,0.0,0.0
Morocco,Combined,2015-05-01,2015,5,2293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.9978241949521324,0.0,0.0,0.0,0.0,0.0,0.0004351610095735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004351610095735,0.0,0.000870322019147
Morocco,Combined,2015-06-01,2015,6,2472,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.9991915925626516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004042037186742,0.0004042037186742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2015-07-01,2015,7,2203,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0.9968325791855204,0.0,0.0,0.0,0.0,0.0,0.0009049773755656,0.0,0.0,0.0,0.0004524886877828,0.0,0.0009049773755656,0.0,0.0,0.0,0.0,0.0,0.0,0.0004524886877828,0.0,0.0
Morocco,Combined,2015-08-01,2015,8,2275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9991216512955644,0.0,0.0004391743522178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2015-09-01,2015,9,2231,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0.9968722073279714,0.0,0.0,0.0,0.0,0.0,0.000893655049151,0.0,0.0,0.0,0.0013404825737265,0.0,0.0,0.0,0.0004468275245755,0.0,0.0,0.0004468275245755,0.0,0.0,0.0,0.0
Morocco,Combined,2015-10-01,2015,10,2354,0,0,0,0,0,1,1,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0.996191282268303,0.0,0.0,0.0,0.0,0.0,0.0004231908590774,0.0004231908590774,0.0004231908590774,0.0,0.0004231908590774,0.0,0.0,0.0,0.0016927634363097,0.0,0.0,0.0004231908590774,0.0,0.0,0.0,0.0
Morocco,Combined,2015-11-01,2015,11,2104,0,0,0,3,0,3,0,1,0,0,0,1,0,7,0,0,1,0,0,0,0,0.9915174363807728,0.0,0.0,0.0,0.0014137606032045,0.0,0.0014137606032045,0.0,0.0004712535344015,0.0,0.0,0.0,0.0004712535344015,0.0,0.0032987747408105,0.0,0.0,0.0004712535344015,0.0,0.0,0.0,0.0
Morocco,Combined,2015-12-01,2015,12,2390,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.9974958263772956,0.0,0.0004173622704507,0.0,0.0,0.0004173622704507,0.0004173622704507,0.0,0.0,0.0,0.0008347245409015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004173622704507,0.0,0.0
Morocco,Combined,2016-01-01,2016,1,2474,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0.9967767929089444,0.0004029008863819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004029008863819,0.0,0.0,0.0,0.0020145044319097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Combined,2016-02-01,2016,2,2372,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0.9970575872215216,0.0,0.0,0.0,0.0,0.0004203446826397,0.0,0.0,0.0,0.0,0.0,0.0,0.0004203446826397,0.0,0.0008406893652795,0.0,0.0,0.0004203446826397,0.0,0.0,0.0004203446826397,0.0
Morocco,Combined,2016-03-01,2016,3,2670,0,0,0,0,0,0,1,2,0,2,0,3,0,1,0,0,1,0,2,0,0,0.9955257270693512,0.0,0.0,0.0,0.0,0.0,0.0,0.000372856077554,0.0007457121551081,0.0,0.0007457121551081,0.0,0.0011185682326621,0.0,0.000372856077554,0.0,0.0,0.000372856077554,0.0,0.0007457121551081,0.0,0.0
