country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Morocco,Russia,2012-01-01,2012,1,1891,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998416050686378,0.0,0.0,0.0,0.0,0.0010559662090813,0.0,0.0005279831045406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-02-01,2012,2,1745,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998283752860412,0.0,0.0,0.0,0.0,0.0005720823798627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-03-01,2012,3,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994556341861732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-04-01,2012,4,1809,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.9972436604189636,0.0,0.0,0.0,0.0,0.0016538037486218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005512679162072,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-05-01,2012,5,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.9994538503549972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005461496450027,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-06-01,2012,6,1650,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9987893462469734,0.0,0.0,0.0,0.0,0.0,0.0,0.0006053268765133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-07-01,2012,7,1613,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9993804213135068,0.0,0.0,0.0,0.0,0.0,0.0,0.0006195786864931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-08-01,2012,8,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-09-01,2012,9,1541,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.9980569948186528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012953367875647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,Russia,2012-10-01,2012,10,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9993804213135068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
