country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Mozambique,Combined,2012-01-01,2012,1,400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9975062344139652,0.0,0.0,0.0,0.0,0.0024937655860349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,Combined,2012-02-01,2012,2,400,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9950248756218906,0.0,0.0024875621890547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024875621890547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,Combined,2012-03-01,2012,3,486,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9959016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020491803278688,0.0,0.0020491803278688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,Combined,2012-04-01,2012,4,431,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0.9885321100917432,0.0,0.0,0.0,0.0,0.0,0.0022935779816513,0.0022935779816513,0.0,0.0,0.0,0.0,0.0,0.0,0.0045871559633027,0.0,0.0,0.0,0.0,0.0022935779816513,0.0,0.0
Mozambique,Combined,2012-05-01,2012,5,528,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.9943502824858758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056497175141242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,Combined,2012-06-01,2012,6,605,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9983498349834984,0.0,0.0016501650165016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,Combined,2012-07-01,2012,7,628,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9952456418383518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015847860538827,0.0,0.0,0.0,0.0,0.0,0.0,0.0015847860538827,0.0,0.0,0.0,0.0
Mozambique,Combined,2012-08-01,2012,8,725,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0.9931506849315068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013698630136986,0.0027397260273972,0.0013698630136986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013698630136986
Mozambique,Combined,2012-09-01,2012,9,659,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0.9894894894894894,0.0,0.0,0.0,0.0015015015015015,0.0,0.0,0.0,0.0,0.0,0.0015015015015015,0.0,0.0015015015015015,0.0,0.0,0.0,0.0,0.0,0.0,0.003003003003003,0.0,0.0015015015015015
Mozambique,Combined,2012-10-01,2012,10,729,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9945429740791268,0.0,0.0027285129604365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013642564802182,0.0,0.0,0.0,0.0,0.0,0.0,0.0013642564802182,0.0,0.0,0.0,0.0
