country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Nigeria,China,2012-01-01,2012,1,2138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,China,2012-02-01,2012,2,2057,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9990286546867412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009713453132588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,China,2012-03-01,2012,3,2413,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9987582781456954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004139072847682,0.0,0.0,0.0,0.0004139072847682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,China,2012-04-01,2012,4,2303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.9986990459670424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004336513443191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004336513443191,0.0,0.0
Nigeria,China,2012-05-01,2012,5,2306,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0.9978364344439636,0.0,0.0,0.0,0.0004327131112072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008654262224145,0.0,0.0004327131112072,0.0,0.0,0.0,0.0,0.0,0.0,0.0004327131112072
Nigeria,China,2012-06-01,2012,6,2388,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0.996661101836394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008347245409015,0.0,0.0008347245409015,0.0,0.0,0.0,0.0,0.0004173622704507,0.0,0.0,0.0,0.0
Nigeria,China,2012-07-01,2012,7,2689,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0.998144023756496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011135857461024,0.0,0.0003711952487008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003711952487008,0.0
Nigeria,China,2012-08-01,2012,8,2741,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.998542805100182,0.0,0.0,0.0,0.0,0.0,0.0003642987249544,0.0,0.0,0.0,0.0007285974499089,0.0,0.0,0.0,0.0,0.0,0.0,0.0003642987249544,0.0,0.0,0.0,0.0
Nigeria,China,2012-09-01,2012,9,2351,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,0,0,0.9970313825275656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004240882103477,0.0012722646310432,0.0,0.0,0.0,0.0,0.0,0.0,0.0008481764206955,0.0004240882103477,0.0,0.0,0.0
Nigeria,China,2012-10-01,2012,10,2615,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.9988540870893812,0.0,0.0,0.0,0.0,0.0,0.0,0.0003819709702062,0.0,0.0,0.0,0.0,0.0,0.0,0.0003819709702062,0.0,0.0,0.0,0.0,0.0,0.0,0.0003819709702062
