country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Nigeria,Combined,2012-01-01,2012,1,2116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9897100093545368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,Combined,2012-02-01,2012,2,2053,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9970859640602234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009713453132588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,Combined,2012-03-01,2012,3,2409,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9971026490066224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004139072847682,0.0,0.0,0.0,0.0004139072847682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,Combined,2012-04-01,2012,4,2300,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.997398091934085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004336513443191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004336513443191,0.0,0.0
Nigeria,Combined,2012-05-01,2012,5,2302,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.9961055819991346,0.0,0.0,0.0,0.0004327131112072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004327131112072,0.0,0.0004327131112072,0.0,0.0,0.0,0.0,0.0,0.0,0.0004327131112072
Nigeria,Combined,2012-06-01,2012,6,2381,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0.9937395659432388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008347245409015,0.0,0.0008347245409015,0.0,0.0,0.0,0.0,0.0004173622704507,0.0,0.0,0.0,0.0
Nigeria,Combined,2012-07-01,2012,7,2682,0,1,0,0,0,0,1,0,0,3,0,3,0,0,0,0,1,0,1,1,0,0.9951762523191094,0.0,0.0003710575139146,0.0,0.0,0.0,0.0,0.0003710575139146,0.0,0.0,0.0011131725417439,0.0,0.0011131725417439,0.0,0.0,0.0,0.0,0.0003710575139146,0.0,0.0003710575139146,0.0003710575139146,0.0
Nigeria,Combined,2012-08-01,2012,8,2740,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0.9981785063752276,0.0,0.0,0.0,0.0,0.0,0.0003642987249544,0.0,0.0,0.0,0.0007285974499089,0.0,0.0,0.0,0.0,0.0,0.0,0.0003642987249544,0.0,0.0,0.0,0.0
Nigeria,Combined,2012-09-01,2012,9,2349,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,0,0,0.9961832061068704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004240882103477,0.0012722646310432,0.0,0.0,0.0,0.0,0.0,0.0,0.0008481764206955,0.0004240882103477,0.0,0.0,0.0
Nigeria,Combined,2012-10-01,2012,10,2599,1,0,0,0,1,0,1,0,0,1,0,2,0,4,0,0,0,0,0,0,4,0.9942616679418516,0.0003825554705432,0.0,0.0,0.0,0.0003825554705432,0.0,0.0003825554705432,0.0,0.0,0.0003825554705432,0.0,0.0007651109410864,0.0,0.0015302218821729,0.0,0.0,0.0,0.0,0.0,0.0,0.0015302218821729
