country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Pakistan,China,2012-01-01,2012,1,3537,0,0,0,0,0,1,1,1,0,2,0,2,0,1,0,1,0,0,1,1,0,0.9844141386028388,0.0,0.0,0.0,0.0,0.0,0.0002783189535207,0.0002783189535207,0.0002783189535207,0.0,0.0005566379070414,0.0,0.0005566379070414,0.0,0.0002783189535207,0.0,0.0002783189535207,0.0,0.0,0.0002783189535207,0.0002783189535207,0.0
Pakistan,China,2012-02-01,2012,2,4782,0,0,0,0,1,0,1,1,0,1,1,3,0,1,1,0,3,0,0,0,0,0.9910880829015544,0.0,0.0,0.0,0.0,0.0002072538860103,0.0,0.0002072538860103,0.0002072538860103,0.0,0.0002072538860103,0.0002072538860103,0.000621761658031,0.0,0.0002072538860103,0.0002072538860103,0.0,0.000621761658031,0.0,0.0,0.0,0.0
Pakistan,China,2012-03-01,2012,3,4930,0,0,0,1,0,2,1,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0.991552695092518,0.0,0.0,0.0,0.0002011263073209,0.0,0.0004022526146419,0.0002011263073209,0.0,0.0,0.0,0.0002011263073209,0.0,0.0,0.0010056315366049,0.0,0.0,0.0,0.0,0.0,0.0,0.0002011263073209
Pakistan,China,2012-04-01,2012,4,5059,1,0,0,0,0,1,2,0,1,5,0,0,0,0,0,2,0,1,7,0,0,0.9859676476320406,0.0001948937828883,0.0,0.0,0.0,0.0,0.0001948937828883,0.0003897875657766,0.0,0.0001948937828883,0.0009744689144416,0.0,0.0,0.0,0.0,0.0,0.0003897875657766,0.0,0.0001948937828883,0.0013642564802182,0.0,0.0
Pakistan,China,2012-05-01,2012,5,5647,0,0,0,0,0,1,4,0,0,10,0,3,1,0,0,0,1,1,2,0,0,0.9907017543859648,0.0,0.0,0.0,0.0,0.0,0.0001754385964912,0.0007017543859649,0.0,0.0,0.0017543859649122,0.0,0.0005263157894736,0.0001754385964912,0.0,0.0,0.0,0.0001754385964912,0.0001754385964912,0.0003508771929824,0.0,0.0
Pakistan,China,2012-06-01,2012,6,5511,0,0,0,0,0,2,4,2,3,7,0,3,0,1,0,0,0,1,2,2,0,0.9878114357411724,0.0,0.0,0.0,0.0,0.0,0.0003584871840831,0.0007169743681663,0.0003584871840831,0.0005377307761247,0.001254705144291,0.0,0.0005377307761247,0.0,0.0001792435920415,0.0,0.0,0.0,0.0001792435920415,0.0003584871840831,0.0003584871840831,0.0
Pakistan,China,2012-07-01,2012,7,5377,0,1,0,0,2,1,1,1,0,3,0,1,0,1,0,1,0,0,4,1,0,0.9896926191790908,0.0,0.0001840603718019,0.0,0.0,0.0003681207436039,0.0001840603718019,0.0001840603718019,0.0001840603718019,0.0,0.0005521811154058,0.0,0.0001840603718019,0.0,0.0001840603718019,0.0,0.0001840603718019,0.0,0.0,0.0007362414872078,0.0001840603718019,0.0
Pakistan,China,2012-08-01,2012,8,4991,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.9918521462639108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001987281399046,0.0,0.0001987281399046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001987281399046
Pakistan,China,2012-09-01,2012,9,5319,0,0,0,1,1,4,3,1,0,4,0,3,0,5,0,5,1,1,5,0,0,0.9862785091785649,0.0,0.0,0.0,0.000185425551641,0.000185425551641,0.000741702206564,0.000556276654923,0.000185425551641,0.0,0.000741702206564,0.0,0.000556276654923,0.0,0.000927127758205,0.0,0.000927127758205,0.000185425551641,0.000185425551641,0.000927127758205,0.0,0.0
Pakistan,China,2012-10-01,2012,10,5126,0,0,0,0,1,1,0,0,1,7,0,1,0,1,0,0,0,0,3,1,0,0.9899575125531092,0.0,0.0,0.0,0.0,0.000193124758594,0.000193124758594,0.0,0.0,0.000193124758594,0.0013518733101583,0.0,0.000193124758594,0.0,0.000193124758594,0.0,0.0,0.0,0.0,0.0005793742757821,0.000193124758594,0.0
