country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Pakistan,Combined,2012-01-01,2012,1,3533,0,0,0,0,1,2,1,1,0,2,0,3,0,1,0,1,0,0,2,1,0,0.983300862788756,0.0,0.0,0.0,0.0,0.0002783189535207,0.0005566379070414,0.0002783189535207,0.0002783189535207,0.0,0.0005566379070414,0.0,0.0008349568605622,0.0,0.0002783189535207,0.0,0.0002783189535207,0.0,0.0,0.0005566379070414,0.0002783189535207,0.0
Pakistan,Combined,2012-02-01,2012,2,4776,1,0,0,0,2,1,1,1,0,3,1,3,0,1,1,0,3,0,1,0,0,0.9898445595854922,0.0002072538860103,0.0,0.0,0.0,0.0004145077720207,0.0002072538860103,0.0002072538860103,0.0002072538860103,0.0,0.000621761658031,0.0002072538860103,0.000621761658031,0.0,0.0002072538860103,0.0002072538860103,0.0,0.000621761658031,0.0,0.0002072538860103,0.0,0.0
Pakistan,Combined,2012-03-01,2012,3,4921,0,0,0,1,0,2,2,0,0,6,1,0,0,5,0,0,0,0,1,1,1,0.9897425583266292,0.0,0.0,0.0,0.0002011263073209,0.0,0.0004022526146419,0.0004022526146419,0.0,0.0,0.0012067578439259,0.0002011263073209,0.0,0.0,0.0010056315366049,0.0,0.0,0.0,0.0,0.0002011263073209,0.0002011263073209,0.0002011263073209
Pakistan,Combined,2012-04-01,2012,4,5055,1,0,0,0,0,1,2,0,1,7,0,1,0,0,0,2,0,1,8,0,0,0.9851880725004872,0.0001948937828883,0.0,0.0,0.0,0.0,0.0001948937828883,0.0003897875657766,0.0,0.0001948937828883,0.0013642564802182,0.0,0.0001948937828883,0.0,0.0,0.0,0.0003897875657766,0.0,0.0001948937828883,0.0015591502631066,0.0,0.0
Pakistan,Combined,2012-05-01,2012,5,5641,1,0,0,0,0,2,4,0,0,11,0,4,1,1,0,0,1,1,3,0,0,0.9896491228070176,0.0001754385964912,0.0,0.0,0.0,0.0,0.0003508771929824,0.0007017543859649,0.0,0.0,0.0019298245614035,0.0,0.0007017543859649,0.0001754385964912,0.0001754385964912,0.0,0.0,0.0001754385964912,0.0001754385964912,0.0005263157894736,0.0,0.0
Pakistan,Combined,2012-06-01,2012,6,5498,1,0,0,0,0,2,4,3,3,13,0,4,0,2,0,1,0,1,3,3,0,0.9854812690446316,0.0001792435920415,0.0,0.0,0.0,0.0,0.0003584871840831,0.0007169743681663,0.0005377307761247,0.0005377307761247,0.0023301666965405,0.0,0.0007169743681663,0.0,0.0003584871840831,0.0,0.0001792435920415,0.0,0.0001792435920415,0.0005377307761247,0.0005377307761247,0.0
Pakistan,Combined,2012-07-01,2012,7,5375,0,1,0,0,2,1,1,1,0,4,0,2,0,1,0,1,0,0,4,1,0,0.9893244984354868,0.0,0.0001840603718019,0.0,0.0,0.0003681207436039,0.0001840603718019,0.0001840603718019,0.0001840603718019,0.0,0.0007362414872078,0.0,0.0003681207436039,0.0,0.0001840603718019,0.0,0.0001840603718019,0.0,0.0,0.0007362414872078,0.0001840603718019,0.0
Pakistan,Combined,2012-08-01,2012,8,4989,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0.9914546899841018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001987281399046,0.0,0.0003974562798092,0.0,0.0,0.0,0.0,0.0001987281399046,0.0,0.0,0.0,0.0001987281399046
Pakistan,Combined,2012-09-01,2012,9,5308,0,0,0,1,1,7,3,1,0,7,0,3,0,5,0,5,1,1,9,0,1,0.9842388281105136,0.0,0.0,0.0,0.000185425551641,0.000185425551641,0.0012979788614871,0.000556276654923,0.000185425551641,0.0,0.0012979788614871,0.0,0.000556276654923,0.0,0.000927127758205,0.0,0.000927127758205,0.000185425551641,0.000185425551641,0.0016688299647691,0.0,0.000185425551641
Pakistan,Combined,2012-10-01,2012,10,5107,1,0,0,0,2,8,0,2,2,7,0,3,0,5,0,1,0,0,3,1,0,0.9862881421398224,0.000193124758594,0.0,0.0,0.0,0.0003862495171881,0.0015449980687524,0.0,0.0003862495171881,0.0003862495171881,0.0013518733101583,0.0,0.0005793742757821,0.0,0.0009656237929702,0.0,0.000193124758594,0.0,0.0,0.0005793742757821,0.000193124758594,0.0
Pakistan,Combined,2012-11-01,2012,11,4959,0,0,0,0,1,2,1,3,0,4,0,2,0,2,0,1,2,0,2,0,1,0.9880454273759712,0.0,0.0,0.0,0.0,0.0001992428770671,0.0003984857541342,0.0001992428770671,0.0005977286312014,0.0,0.0007969715082685,0.0,0.0003984857541342,0.0,0.0003984857541342,0.0,0.0001992428770671,0.0003984857541342,0.0,0.0003984857541342,0.0,0.0001992428770671
Pakistan,Combined,2012-12-01,2012,12,5299,0,0,1,0,0,4,1,1,0,5,0,0,0,2,0,2,1,1,1,6,0,0.9875139768915392,0.0,0.0,0.0001863585538576,0.0,0.0,0.0007454342154304,0.0001863585538576,0.0001863585538576,0.0,0.0009317927692881,0.0,0.0,0.0,0.0003727171077152,0.0,0.0003727171077152,0.0001863585538576,0.0001863585538576,0.0001863585538576,0.0011181513231457,0.0
Pakistan,Combined,2013-01-01,2013,1,5171,1,0,0,0,1,1,0,0,0,5,0,1,0,1,0,0,0,1,2,2,0,0.9860793287566744,0.0001906941266209,0.0,0.0,0.0,0.0001906941266209,0.0001906941266209,0.0,0.0,0.0,0.0009534706331045,0.0,0.0001906941266209,0.0,0.0001906941266209,0.0,0.0,0.0,0.0001906941266209,0.0003813882532418,0.0003813882532418,0.0
Pakistan,Combined,2013-02-01,2013,2,4954,0,0,0,0,0,0,3,1,1,8,0,1,0,5,0,1,0,0,1,0,0,0.9884277733439744,0.0,0.0,0.0,0.0,0.0,0.0,0.0005985634477254,0.0001995211492418,0.0001995211492418,0.0015961691939345,0.0,0.0001995211492418,0.0,0.000997605746209,0.0,0.0001995211492418,0.0,0.0,0.0001995211492418,0.0,0.0
