country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Rwanda,Combined,2012-01-01,2012,1,1128,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.9938325991189428,0.0,0.0,0.0,0.0008810572687224,0.0,0.0017621145374449,0.0,0.0,0.0008810572687224,0.0,0.0,0.0008810572687224,0.0,0.0,0.0,0.0,0.0008810572687224,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-02-01,2012,2,1199,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9991666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-03-01,2012,3,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9992277992277993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007722007722007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-04-01,2012,4,1286,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9968992248062016,0.0,0.0,0.0,0.0015503875968992,0.0,0.0,0.0,0.0007751937984496,0.0,0.0007751937984496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-05-01,2012,5,1332,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997005988023952,0.0,0.0,0.0,0.0,0.0,0.0007485029940119,0.0,0.0007485029940119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-06-01,2012,6,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9992537313432835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007462686567164,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-07-01,2012,7,1485,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0.9966442953020134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006711409395973,0.0,0.0006711409395973,0.0,0.0,0.0,0.0006711409395973,0.0006711409395973,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-08-01,2012,8,1470,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0.9972862957937584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006784260515603,0.0,0.0,0.0,0.0,0.0,0.0,0.0013568521031207,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-09-01,2012,9,1421,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0.9950980392156864,0.0,0.0,0.0,0.0,0.0,0.0007002801120448,0.0,0.0,0.0007002801120448,0.0007002801120448,0.0,0.0,0.0,0.0,0.0,0.0,0.0007002801120448,0.0,0.0014005602240896,0.0,0.0
Rwanda,Combined,2012-10-01,2012,10,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.997392438070404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006518904823989,0.0,0.0006518904823989,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-11-01,2012,11,1540,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.9980557355800388,0.0,0.0,0.0,0.000648088139987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000648088139987,0.0,0.0,0.0,0.0,0.000648088139987,0.0,0.0,0.0,0.0
Rwanda,Combined,2012-12-01,2012,12,1330,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.99774943735934,0.0,0.0,0.0,0.0,0.0,0.0,0.0007501875468867,0.0,0.0007501875468867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,Combined,2013-01-01,2013,1,1311,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0.9954441913439636,0.0,0.0007593014426727,0.0,0.0,0.0,0.0,0.0007593014426727,0.0,0.0,0.0007593014426727,0.0,0.0015186028853454,0.0,0.0,0.0,0.0,0.0007593014426727,0.0,0.0,0.0,0.0
Rwanda,Combined,2013-02-01,2013,2,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,Combined,2013-03-01,2013,3,1445,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.996551724137931,0.0,0.0,0.0,0.0,0.0,0.0006896551724137,0.0,0.0,0.0,0.0,0.0,0.0006896551724137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,Combined,2013-04-01,2013,4,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwanda,Combined,2013-05-01,2013,5,1360,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0.997067448680352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000733137829912,0.0,0.000733137829912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000733137829912,0.000733137829912
Rwanda,Combined,2013-06-01,2013,6,1288,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9961330239752514,0.0,0.0,0.0,0.0,0.0,0.0015467904098994,0.0,0.0007733952049497,0.0,0.0007733952049497,0.0,0.0,0.0,0.0,0.0,0.0,0.0007733952049497,0.0,0.0,0.0,0.0
