country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
South Africa,Combined,2012-01-01,2012,1,1613,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9962940086473132,0.0,0.0,0.0,0.0,0.0,0.0006176652254478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2012-02-01,2012,2,1629,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0.9945054945054944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018315018315018,0.0,0.0006105006105006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006105006105006,0.0
South Africa,Combined,2012-03-01,2012,3,1811,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0.9939626783754116,0.0,0.0005488474204171,0.0,0.0,0.0,0.0,0.0,0.0,0.0005488474204171,0.0010976948408342,0.0,0.0,0.0,0.0005488474204171,0.0,0.0,0.0,0.0,0.0005488474204171,0.0005488474204171,0.0
South Africa,Combined,2012-04-01,2012,4,1320,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.995475113122172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007541478129713,0.0,0.0,0.0,0.0,0.0007541478129713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2012-05-01,2012,5,1199,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.9941956882255388,0.0,0.0,0.0,0.0,0.0,0.0,0.0008291873963515,0.0,0.0,0.0008291873963515,0.0,0.0016583747927031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2012-06-01,2012,6,1128,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0.992084432717678,0.0008795074758135,0.001759014951627,0.0,0.0,0.0,0.0,0.0,0.0,0.001759014951627,0.0,0.0,0.0008795074758135,0.0,0.0,0.0,0.0,0.0,0.0,0.001759014951627,0.0,0.0
South Africa,Combined,2012-07-01,2012,7,1357,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.9955979457079972,0.0,0.0,0.0,0.0,0.0007336757153338,0.0,0.0007336757153338,0.0,0.0007336757153338,0.0014673514306676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2012-08-01,2012,8,2417,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.997112211221122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004125412541254,0.0004125412541254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2012-09-01,2012,9,2159,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9976894639556376,0.0,0.0,0.0,0.0,0.0,0.0004621072088724,0.0,0.0,0.0,0.0004621072088724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2012-10-01,2012,10,2366,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.997470489038786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008431703204047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004215851602023
South Africa,Combined,2012-11-01,2012,11,1870,1,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0.9952102182011708,0.0005321979776476,0.0,0.0,0.0,0.0,0.0,0.0,0.0005321979776476,0.0,0.0031931878658861,0.0,0.0005321979776476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2012-12-01,2012,12,1236,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0.9951690821256038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000805152979066,0.0,0.0,0.0,0.0,0.0,0.0,0.000805152979066,0.000805152979066,0.000805152979066,0.001610305958132,0.0
South Africa,Combined,2013-01-01,2013,1,1434,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.9958333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006944444444444,0.0,0.0006944444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2013-02-01,2013,2,1837,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9929729729729728,0.001081081081081,0.0,0.0,0.0,0.0,0.0,0.0005405405405405,0.0,0.0,0.0005405405405405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,Combined,2013-03-01,2013,3,1835,0,0,0,1,0,6,1,0,0,10,0,2,0,0,0,0,2,1,6,0,0,0.982860203535083,0.0,0.0,0.0,0.0005356186395286,0.0,0.0032137118371719,0.0005356186395286,0.0,0.0,0.0053561863952865,0.0,0.0010712372790573,0.0,0.0,0.0,0.0,0.0010712372790573,0.0005356186395286,0.0032137118371719,0.0,0.0
