country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Sri Lanka,Combined,2012-01-01,2012,1,1145,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9956521739130436,0.0,0.0,0.0,0.0008695652173913,0.0008695652173913,0.0,0.0008695652173913,0.0008695652173913,0.0,0.0,0.0,0.0008695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-02-01,2012,2,1371,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.9970909090909092,0.0007272727272727,0.0,0.0,0.0,0.0,0.0007272727272727,0.0,0.0,0.0,0.0,0.0,0.0007272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007272727272727
Sri Lanka,Combined,2012-03-01,2012,3,1200,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.9966777408637874,0.0,0.0,0.0,0.0,0.0,0.0,0.0016611295681063,0.0,0.0,0.0,0.0,0.0008305647840531,0.0,0.0008305647840531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-04-01,2012,4,1108,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0.9964028776978416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008992805755395,0.0,0.0017985611510791,0.0,0.0,0.0,0.0,0.0008992805755395,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-05-01,2012,5,1264,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.9952755905511812,0.0,0.0,0.0,0.0023622047244094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015748031496062,0.0,0.0,0.0,0.0,0.0,0.0,0.0007874015748031,0.0,0.0
Sri Lanka,Combined,2012-06-01,2012,6,1278,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0.9961028838659391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007794232268121,0.0,0.0,0.0,0.0015588464536243,0.0,0.0,0.0,0.0007794232268121,0.0,0.0,0.0007794232268121,0.0,0.0
Sri Lanka,Combined,2012-07-01,2012,7,1501,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9980053191489362,0.0006648936170212,0.0,0.0,0.0,0.0,0.0006648936170212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006648936170212,0.0
Sri Lanka,Combined,2012-08-01,2012,8,1401,0,0,0,3,0,1,0,2,0,2,0,6,0,5,0,0,0,0,1,0,0,0.9859254046446164,0.0,0.0,0.0,0.0021111893033075,0.0,0.0007037297677691,0.0,0.0014074595355383,0.0,0.0014074595355383,0.0,0.004222378606615,0.0,0.0035186488388458,0.0,0.0,0.0,0.0,0.0007037297677691,0.0,0.0
Sri Lanka,Combined,2012-09-01,2012,9,1467,0,0,0,0,0,3,1,0,0,1,0,2,0,0,0,3,2,0,0,2,0,0.9905469277515192,0.0,0.0,0.0,0.0,0.0,0.0020256583389601,0.00067521944632,0.0,0.0,0.00067521944632,0.0,0.0013504388926401,0.0,0.0,0.0,0.0020256583389601,0.0013504388926401,0.0,0.0,0.0013504388926401,0.0
Sri Lanka,Combined,2012-10-01,2012,10,1542,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0.9967679379444084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006464124111182,0.0,0.0,0.0019392372333548,0.0,0.0,0.0006464124111182,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-11-01,2012,11,1676,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.9976190476190476,0.0,0.0,0.0,0.0,0.0,0.0011904761904761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011904761904761,0.0,0.0,0.0
Sri Lanka,Combined,2012-12-01,2012,12,1509,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0.9940711462450592,0.0,0.0,0.0006587615283267,0.0013175230566534,0.0,0.0,0.0006587615283267,0.0,0.0,0.0,0.0,0.0,0.0,0.0006587615283267,0.0,0.0,0.0013175230566534,0.0,0.0,0.0006587615283267,0.0006587615283267
Sri Lanka,Combined,2013-01-01,2013,1,1630,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0.9963325183374084,0.0006112469437652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006112469437652,0.0,0.0006112469437652,0.0,0.0006112469437652,0.0,0.0006112469437652,0.0,0.0,0.0,0.0,0.0006112469437652
Sri Lanka,Combined,2013-02-01,2013,2,1416,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9978858350951374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007047216349541,0.0,0.0014094432699083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2013-03-01,2013,3,1581,0,0,0,1,1,0,3,0,1,4,0,0,0,0,1,0,0,2,1,0,2,0.9899812147777082,0.0,0.0,0.0,0.0006261740763932,0.0006261740763932,0.0,0.0018785222291797,0.0,0.0006261740763932,0.0025046963055729,0.0,0.0,0.0,0.0,0.0006261740763932,0.0,0.0,0.0012523481527864,0.0006261740763932,0.0,0.0012523481527864
Sri Lanka,Combined,2013-04-01,2013,4,1464,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.9979550102249488,0.0,0.0,0.0,0.0006816632583503,0.0,0.0,0.0,0.0,0.0,0.0006816632583503,0.0,0.0,0.0,0.0006816632583503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2013-05-01,2013,5,1600,1,0,0,2,0,0,0,0,2,5,0,0,0,0,0,1,0,2,1,0,0,0.9913258983890956,0.0006195786864931,0.0,0.0,0.0012391573729863,0.0,0.0,0.0,0.0,0.0012391573729863,0.0030978934324659,0.0,0.0,0.0,0.0,0.0,0.0006195786864931,0.0,0.0012391573729863,0.0006195786864931,0.0,0.0
Sri Lanka,Combined,2013-06-01,2013,6,1708,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0.9964994165694282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011668611435239,0.0,0.0011668611435239,0.0,0.0011668611435239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2013-07-01,2013,7,1666,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0.9964114832535884,0.0,0.0,0.0,0.0005980861244019,0.0,0.0,0.0,0.0,0.0,0.0023923444976076,0.0,0.0,0.0,0.0,0.0,0.0,0.0005980861244019,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2013-08-01,2013,8,1408,0,0,1,0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0.9936485532815807,0.0,0.0,0.0007057163020465,0.0,0.0,0.0,0.0007057163020465,0.0007057163020465,0.0,0.0035285815102328,0.0,0.0007057163020465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2013-09-01,2013,9,1398,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0.9964362081254454,0.0,0.0,0.0,0.0,0.0,0.0,0.0007127583749109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007127583749109,0.0,0.0,0.0,0.0021382751247327,0.0,0.0
Sri Lanka,Combined,2013-10-01,2013,10,1422,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0.9957983193277312,0.0,0.0,0.0,0.0,0.0,0.0014005602240896,0.0,0.0,0.0,0.0014005602240896,0.0,0.0007002801120448,0.0,0.0,0.0,0.0,0.0,0.0007002801120448,0.0,0.0,0.0
Sri Lanka,Combined,2013-11-01,2013,11,1488,1,0,0,0,0,4,3,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0.9913391072618256,0.0006662225183211,0.0,0.0,0.0,0.0,0.0026648900732844,0.0019986675549633,0.0,0.0,0.0006662225183211,0.0,0.0006662225183211,0.0,0.0006662225183211,0.0,0.0,0.0,0.0,0.0013324450366422,0.0,0.0
Sri Lanka,Combined,2013-12-01,2013,12,1434,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.9979123173277662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006958942240779,0.0,0.0006958942240779,0.0,0.0,0.0,0.0,0.0,0.0,0.0006958942240779,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2014-01-01,2014,1,1396,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.997855611150822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007147962830593,0.0,0.0007147962830593,0.0,0.0,0.0,0.0,0.0,0.0,0.0007147962830593,0.0,0.0
