country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Tanzania,China,2012-01-01,2012,1,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9968895800933126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,China,2012-02-01,2012,2,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,China,2012-03-01,2012,3,975,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0.9938837920489296,0.0,0.0,0.0,0.0,0.0,0.001019367991845,0.0,0.0020387359836901,0.0,0.0030581039755351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,China,2012-04-01,2012,4,870,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9988518943742823,0.0,0.0,0.0,0.0,0.0,0.0011481056257175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanzania,China,2012-05-01,2012,5,933,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.9946695095948828,0.0010660980810234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010660980810234,0.0,0.0010660980810234,0.0,0.0,0.0,0.0,0.0010660980810234,0.0,0.0,0.0,0.0
Tanzania,China,2012-06-01,2012,6,1087,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0.993601462522852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009140767824497,0.0,0.0,0.0,0.0,0.0,0.0009140767824497,0.0009140767824497,0.0,0.0,0.0009140767824497,0.0
Tanzania,China,2012-07-01,2012,7,963,0,0,0,2,0,0,1,0,2,1,0,1,0,1,0,0,1,0,1,1,0,0.985670419651996,0.0,0.0,0.0,0.0020470829068577,0.0,0.0,0.0010235414534288,0.0,0.0020470829068577,0.0010235414534288,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0,0.0,0.0010235414534288,0.0,0.0010235414534288,0.0010235414534288,0.0
Tanzania,China,2012-08-01,2012,8,970,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0.9918200408997956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020449897750511,0.0,0.0,0.0,0.0010224948875255,0.0,0.0,0.0,0.0,0.0,0.0020449897750511,0.0
Tanzania,China,2012-09-01,2012,9,961,0,0,0,0,0,2,0,0,4,1,0,2,0,0,0,1,0,0,1,0,0,0.9866529774127312,0.0,0.0,0.0,0.0,0.0,0.002053388090349,0.0,0.0,0.0041067761806981,0.0010266940451745,0.0,0.002053388090349,0.0,0.0,0.0,0.0010266940451745,0.0,0.0,0.0010266940451745,0.0,0.0
Tanzania,China,2012-10-01,2012,10,1003,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9970178926441352,0.0,0.0,0.0,0.0,0.0,0.0009940357852882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009940357852882,0.0,0.0
