country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Turkey,China,2012-01-01,2012,1,11578,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.9963855421686748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001721170395869,0.0,0.0,0.0,8.605851979345956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,China,2012-02-01,2012,2,9468,0,0,0,0,0,3,0,0,0,1,0,2,0,2,0,0,1,0,3,1,0,0.99757665156464,0.0,0.0,0.0,0.0,0.0,0.0003160889263512,0.0,0.0,0.0,0.0001053629754504,0.0,0.0002107259509008,0.0,0.0002107259509008,0.0,0.0,0.0001053629754504,0.0,0.0003160889263512,0.0001053629754504,0.0
Turkey,China,2012-03-01,2012,3,9957,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,3,0,0.9973955724732044,0.0,0.0,0.0001001702894921,0.0,0.0,0.0001001702894921,0.0,0.0,0.0,0.0,0.0,0.0002003405789842,0.0,0.0,0.0,0.0001001702894921,0.0001001702894921,0.0,0.0,0.0003005108684764,0.0
Turkey,China,2012-04-01,2012,4,9395,0,0,0,2,0,6,1,1,0,8,0,3,0,0,0,2,2,0,1,0,0,0.9953384892467424,0.0,0.0,0.0,0.0002118868524208,0.0,0.0006356605572624,0.0001059434262104,0.0001059434262104,0.0,0.0008475474096832,0.0,0.0003178302786312,0.0,0.0,0.0,0.0002118868524208,0.0002118868524208,0.0,0.0001059434262104,0.0,0.0
Turkey,China,2012-05-01,2012,5,9890,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0.9962727913770524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003022061045633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001007353681877,0.0
Turkey,China,2012-06-01,2012,6,9595,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0.9960552268244576,0.0,0.0,0.0,0.0,0.000103809820409,0.0,0.000103809820409,0.0,0.0,0.000311429461227,0.0,0.0,0.0,0.000103809820409,0.0,0.0,0.0,0.0,0.0,0.000311429461227,0.0
Turkey,China,2012-07-01,2012,7,10412,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0.9966497559107876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002871637790753,0.0,9.572125969177756e-05,0.0,0.0,9.572125969177756e-05,0.0,9.572125969177756e-05,0.0,0.0
Turkey,China,2012-08-01,2012,8,11100,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0.9958729589090256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001794365691727,0.0,0.0002691548537591,0.0,0.0001794365691727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,China,2012-09-01,2012,9,11159,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,2,0,0,0,0,0.9966952483029652,0.0,0.0,0.0,0.0,0.0,0.0,8.931761343336905e-05,0.0,0.0,0.0006252232940335,0.0,0.0,0.0,8.931761343336905e-05,0.0,0.0,0.0001786352268667,0.0,0.0,0.0,0.0
Turkey,China,2012-10-01,2012,10,11380,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0.9957997899894996,0.0,0.0,0.0,0.0,0.0,0.0,8.750437521876094e-05,0.0,0.0,0.0001750087504375,0.0,8.750437521876094e-05,0.0,0.0001750087504375,0.0,0.0,0.0,8.750437521876094e-05,0.0,0.0,0.0
