country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Turkey,Combined,2012-01-01,2012,1,11587,3,0,0,0,1,0,0,0,0,3,0,3,0,4,0,0,0,0,1,2,0,0.997160068846816,0.0002581755593803,0.0,0.0,0.0,8.605851979345956e-05,0.0,0.0,0.0,0.0,0.0002581755593803,0.0,0.0002581755593803,0.0,0.0003442340791738,0.0,0.0,0.0,0.0,8.605851979345956e-05,0.0001721170395869,0.0
Turkey,Combined,2012-02-01,2012,2,9460,1,0,0,0,1,4,1,0,0,3,0,2,0,6,1,0,1,0,3,2,0,0.996628739991572,0.0001053518752633,0.0,0.0,0.0,0.0001053518752633,0.0004214075010535,0.0001053518752633,0.0,0.0,0.0003160556257901,0.0,0.0002107037505267,0.0,0.0006321112515802,0.0001053518752633,0.0,0.0001053518752633,0.0,0.0003160556257901,0.0002107037505267,0.0
Turkey,Combined,2012-03-01,2012,3,9944,1,0,1,1,2,1,1,0,0,4,0,2,0,4,0,1,1,0,1,3,0,0.9961931476657984,0.0001001803245842,0.0,0.0001001803245842,0.0001001803245842,0.0002003606491685,0.0001001803245842,0.0001001803245842,0.0,0.0,0.000400721298337,0.0,0.0002003606491685,0.0,0.000400721298337,0.0,0.0001001803245842,0.0001001803245842,0.0,0.0001001803245842,0.0003005409737527,0.0
Turkey,Combined,2012-04-01,2012,4,9388,0,0,0,2,1,6,8,1,0,8,1,6,0,2,0,2,2,0,1,0,0,0.9944915254237288,0.0,0.0,0.0,0.0002118644067796,0.0001059322033898,0.0006355932203389,0.0008474576271186,0.0001059322033898,0.0,0.0008474576271186,0.0001059322033898,0.0006355932203389,0.0,0.0002118644067796,0.0,0.0002118644067796,0.0002118644067796,0.0,0.0001059322033898,0.0,0.0
Turkey,Combined,2012-05-01,2012,5,9910,0,0,0,0,0,0,2,0,0,6,0,3,0,0,0,0,0,0,0,1,0,0.9981869460112812,0.0,0.0,0.0,0.0,0.0,0.0,0.0002014504431909,0.0,0.0,0.0006043513295729,0.0,0.0003021756647864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001007252215954,0.0
Turkey,Combined,2012-06-01,2012,6,9580,0,0,1,3,5,1,2,1,0,9,0,1,0,5,1,0,0,0,0,4,0,0.9944980795183224,0.0,0.0,0.000103809820409,0.000311429461227,0.000519049102045,0.000103809820409,0.000207619640818,0.000103809820409,0.0,0.000934288383681,0.0,0.000103809820409,0.0,0.000519049102045,0.000103809820409,0.0,0.0,0.0,0.0,0.000415239281636,0.0
Turkey,Combined,2012-07-01,2012,7,10402,0,0,0,1,0,2,3,0,0,4,0,6,0,10,0,0,1,0,1,0,0,0.9955972434915772,0.0,0.0,0.0,9.571209800918837e-05,0.0,0.0001914241960183,0.0002871362940275,0.0,0.0,0.0003828483920367,0.0,0.0005742725880551,0.0,0.0009571209800918,0.0,0.0,9.571209800918837e-05,0.0,9.571209800918837e-05,0.0,0.0
Turkey,Combined,2012-08-01,2012,8,11115,0,0,0,0,1,0,2,0,0,4,0,4,0,7,0,0,0,0,0,0,0,0.9971292724499864,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0001794204718758,0.0,0.0,0.0003588409437516,0.0,0.0003588409437516,0.0,0.0006279716515654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Combined,2012-09-01,2012,9,11167,0,0,0,0,0,0,2,0,0,8,0,1,0,2,0,0,2,0,0,0,0,0.9974097892104324,0.0,0.0,0.0,0.0,0.0,0.0,0.0001786352268667,0.0,0.0,0.0007145409074669,0.0,8.931761343336905e-05,0.0,0.0001786352268667,0.0,0.0,0.0001786352268667,0.0,0.0,0.0,0.0
Turkey,Combined,2012-10-01,2012,10,11339,16,0,0,2,1,1,13,0,1,4,1,2,0,26,0,0,1,3,1,0,2,0.9922121106055304,0.0014000700035001,0.0,0.0,0.0001750087504375,8.750437521876094e-05,8.750437521876094e-05,0.0011375568778438,0.0,8.750437521876094e-05,0.000350017500875,8.750437521876094e-05,0.0001750087504375,0.0,0.0022751137556877,0.0,0.0,8.750437521876094e-05,0.0002625131256562,8.750437521876094e-05,0.0,0.0001750087504375
