country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Turkey,Russia,2012-01-01,2012,1,11590,3,0,0,0,1,0,0,0,0,1,0,3,0,3,0,0,0,0,1,2,0,0.9974182444061962,0.0002581755593803,0.0,0.0,0.0,8.605851979345956e-05,0.0,0.0,0.0,0.0,8.605851979345956e-05,0.0,0.0002581755593803,0.0,0.0002581755593803,0.0,0.0,0.0,0.0,8.605851979345956e-05,0.0001721170395869,0.0
Turkey,Russia,2012-02-01,2012,2,9471,1,0,0,0,1,1,1,0,0,2,0,0,0,4,1,0,1,0,1,1,0,0.9977876106194692,0.0001053518752633,0.0,0.0,0.0,0.0001053518752633,0.0001053518752633,0.0001053518752633,0.0,0.0,0.0002107037505267,0.0,0.0,0.0,0.0004214075010535,0.0001053518752633,0.0,0.0001053518752633,0.0,0.0001053518752633,0.0001053518752633,0.0
Turkey,Russia,2012-03-01,2012,3,9952,1,0,0,1,2,0,1,0,0,4,0,0,0,4,0,1,0,0,1,0,0,0.9969945902624724,0.0001001803245842,0.0,0.0,0.0001001803245842,0.0002003606491685,0.0,0.0001001803245842,0.0,0.0,0.000400721298337,0.0,0.0,0.0,0.000400721298337,0.0,0.0001001803245842,0.0,0.0,0.0001001803245842,0.0,0.0
Turkey,Russia,2012-04-01,2012,4,9413,0,0,0,0,1,0,8,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0.9971398305084744,0.0,0.0,0.0,0.0,0.0001059322033898,0.0,0.0008474576271186,0.0,0.0,0.0,0.0001059322033898,0.0003177966101694,0.0,0.0002118644067796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Russia,2012-05-01,2012,5,9914,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0.9985898468976632,0.0,0.0,0.0,0.0,0.0,0.0,0.0002014504431909,0.0,0.0,0.0003021756647864,0.0,0.0003021756647864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Russia,2012-06-01,2012,6,9589,0,0,1,3,5,1,1,1,0,6,0,1,0,4,1,0,0,0,0,0,0,0.9954323679020036,0.0,0.0,0.000103809820409,0.000311429461227,0.000519049102045,0.000103809820409,0.000103809820409,0.000103809820409,0.0,0.000622858922454,0.0,0.000103809820409,0.0,0.000415239281636,0.000103809820409,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Russia,2012-07-01,2012,7,10408,0,0,0,1,0,2,3,0,0,4,0,3,0,9,0,0,0,0,0,0,0,0.9961715160796324,0.0,0.0,0.0,9.571209800918837e-05,0.0,0.0001914241960183,0.0002871362940275,0.0,0.0,0.0003828483920367,0.0,0.0002871362940275,0.0,0.0008614088820826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Russia,2012-08-01,2012,8,11122,0,0,0,0,1,0,2,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0.997757244101552,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0001794204718758,0.0,0.0,0.0001794204718758,0.0,8.971023593792052e-05,0.0,0.0004485511796896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Russia,2012-09-01,2012,9,11177,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.998302965344766,0.0,0.0,0.0,0.0,0.0,0.0,0.0001786352268667,0.0,0.0,8.931761343336905e-05,0.0,8.931761343336905e-05,0.0,8.931761343336905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,Russia,2012-10-01,2012,10,11346,16,0,0,2,1,1,12,0,1,2,1,1,0,24,0,0,1,2,1,0,2,0.9928246412320616,0.0014000700035001,0.0,0.0,0.0001750087504375,8.750437521876094e-05,8.750437521876094e-05,0.0010500525026251,0.0,8.750437521876094e-05,0.0001750087504375,8.750437521876094e-05,8.750437521876094e-05,0.0,0.0021001050052502,0.0,0.0,8.750437521876094e-05,0.0001750087504375,8.750437521876094e-05,0.0,0.0001750087504375
