country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Ukraine,Combined,2012-01-01,2012,1,5091,2,0,0,4,3,3,7,3,1,52,0,4,0,5,6,2,2,1,8,11,5,0.9771593090211133,0.000383877159309,0.0,0.0,0.000767754318618,0.0005758157389635,0.0005758157389635,0.0013435700575815,0.0005758157389635,0.0001919385796545,0.0099808061420345,0.0,0.000767754318618,0.0,0.0009596928982725,0.001151631477927,0.000383877159309,0.000383877159309,0.0001919385796545,0.001535508637236,0.0021113243761996,0.0009596928982725
Ukraine,Combined,2012-02-01,2012,2,5503,1,0,0,6,9,9,12,3,0,69,7,11,0,10,8,2,1,2,24,30,5,0.9634103641456584,0.0001750700280112,0.0,0.0,0.0010504201680672,0.0015756302521008,0.0015756302521008,0.0021008403361344,0.0005252100840336,0.0,0.0120798319327731,0.0012254901960784,0.0019257703081232,0.0,0.001750700280112,0.0014005602240896,0.0003501400560224,0.0001750700280112,0.0003501400560224,0.0042016806722689,0.0052521008403361,0.000875350140056
Ukraine,Combined,2012-03-01,2012,3,5853,0,0,0,10,4,9,6,5,0,35,2,9,1,7,13,5,6,2,17,9,2,0.9763135946622186,0.0,0.0,0.0,0.0016680567139282,0.0006672226855713,0.0015012510425354,0.0010008340283569,0.0008340283569641,0.0,0.0058381984987489,0.0003336113427856,0.0015012510425354,0.0001668056713928,0.0011676396997497,0.0021684737281067,0.0008340283569641,0.0010008340283569,0.0003336113427856,0.002835696413678,0.0015012510425354,0.0003336113427856
Ukraine,Combined,2012-04-01,2012,4,6118,2,1,0,5,11,1,8,1,1,22,1,10,0,13,1,2,3,0,7,13,2,0.9832851173256189,0.0003214400514304,0.0001607200257152,0.0,0.000803600128576,0.0017679202828672,0.0001607200257152,0.0012857602057216,0.0001607200257152,0.0001607200257152,0.0035358405657344,0.0001607200257152,0.001607200257152,0.0,0.0020893603342976,0.0001607200257152,0.0003214400514304,0.0004821600771456,0.0,0.0011250401800064,0.0020893603342976,0.0003214400514304
Ukraine,Combined,2012-05-01,2012,5,6174,4,0,0,6,5,12,9,3,3,32,5,11,0,8,0,0,3,0,8,11,2,0.9806226175349428,0.0006353240152477,0.0,0.0,0.0009529860228716,0.0007941550190597,0.0019059720457433,0.0014294790343074,0.0004764930114358,0.0004764930114358,0.0050825921219822,0.0007941550190597,0.0017471410419313,0.0,0.0012706480304955,0.0,0.0,0.0004764930114358,0.0,0.0012706480304955,0.0017471410419313,0.0003176620076238
Ukraine,Combined,2012-06-01,2012,6,5803,3,0,0,3,4,6,6,3,2,22,0,4,1,8,1,2,7,5,8,5,2,0.9843935538592028,0.0005089058524173,0.0,0.0,0.0005089058524173,0.0006785411365564,0.0010178117048346,0.0010178117048346,0.0005089058524173,0.0003392705682782,0.0037319762510602,0.0,0.0006785411365564,0.0001696352841391,0.0013570822731128,0.0001696352841391,0.0003392705682782,0.0011874469889737,0.0008481764206955,0.0013570822731128,0.0008481764206955,0.0003392705682782
Ukraine,Combined,2012-07-01,2012,7,6410,3,0,0,2,4,14,10,7,9,40,0,15,0,17,2,3,4,0,12,4,0,0.9777303233679072,0.0004575960951799,0.0,0.0,0.0003050640634533,0.0006101281269066,0.0021354484441732,0.0015253203172666,0.0010677242220866,0.0013727882855399,0.0061012812690665,0.0,0.0022879804758999,0.0,0.0025930445393532,0.0003050640634533,0.0004575960951799,0.0006101281269066,0.0,0.0018303843807199,0.0006101281269066,0.0
Ukraine,Combined,2012-08-01,2012,8,5847,3,0,0,15,3,0,8,3,3,16,4,3,0,11,2,4,10,5,7,12,2,0.9813695871097684,0.0005035246727089,0.0,0.0,0.0025176233635448,0.0005035246727089,0.0,0.0013427324605572,0.0005035246727089,0.0005035246727089,0.0026854649211144,0.0006713662302786,0.0005035246727089,0.0,0.0018462571332661,0.0003356831151393,0.0006713662302786,0.0016784155756965,0.0008392077878482,0.0011748909029875,0.0020140986908358,0.0003356831151393
Ukraine,Combined,2012-09-01,2012,9,5594,9,0,0,5,4,1,11,2,5,18,2,10,1,8,1,4,7,0,10,25,6,0.9774593744539576,0.001572601782282,0.0,0.0,0.0008736676568233,0.0006989341254586,0.0001747335313646,0.0019220688450113,0.0003494670627293,0.0008736676568233,0.003145203564564,0.0003494670627293,0.0017473353136466,0.0001747335313646,0.0013978682509173,0.0001747335313646,0.0006989341254586,0.0012231347195526,0.0,0.0017473353136466,0.0043683382841167,0.001048401188188
Ukraine,Combined,2012-10-01,2012,10,8129,1,1,0,8,5,10,10,4,1,27,3,12,1,19,32,4,3,0,16,13,5,0.9789258188824664,0.0001204238921001,0.0001204238921001,0.0,0.0009633911368015,0.0006021194605009,0.0012042389210019,0.0012042389210019,0.0004816955684007,0.0001204238921001,0.0032514450867052,0.0003612716763005,0.0014450867052023,0.0001204238921001,0.0022880539499036,0.0038535645472061,0.0004816955684007,0.0003612716763005,0.0,0.001926782273603,0.0015655105973025,0.0006021194605009
Ukraine,Combined,2012-11-01,2012,11,6541,6,0,1,6,9,1,7,2,0,35,2,5,0,4,7,4,2,2,12,6,1,0.9831654892529684,0.0009018487900195,0.0,0.0001503081316699,0.0009018487900195,0.0013527731850293,0.0001503081316699,0.0010521569216894,0.0003006162633398,0.0,0.0052607846084473,0.0003006162633398,0.0007515406583496,0.0,0.0006012325266796,0.0010521569216894,0.0006012325266796,0.0003006162633398,0.0003006162633398,0.001803697580039,0.0009018487900195,0.0001503081316699
Ukraine,Combined,2012-12-01,2012,12,6076,6,2,0,9,3,19,2,1,2,24,0,3,0,4,0,2,3,0,15,7,0,0.983489802525089,0.0009711880867594,0.0003237293622531,0.0,0.0014567821301392,0.0004855940433797,0.0030754289414049,0.0003237293622531,0.0001618646811265,0.0003237293622531,0.0038847523470378,0.0,0.0004855940433797,0.0,0.0006474587245063,0.0,0.0003237293622531,0.0004855940433797,0.0,0.0024279702168986,0.001133052767886,0.0
Ukraine,Combined,2013-01-01,2013,1,5662,4,1,0,5,0,14,5,2,2,20,4,1,0,2,2,5,0,0,15,4,3,0.9845244305338202,0.0006955312119631,0.0001738828029907,0.0,0.0008694140149539,0.0,0.0024343592418709,0.0008694140149539,0.0003477656059815,0.0003477656059815,0.0034776560598156,0.0006955312119631,0.0001738828029907,0.0,0.0003477656059815,0.0003477656059815,0.0008694140149539,0.0,0.0,0.0026082420448617,0.0006955312119631,0.0005216484089723
Ukraine,Combined,2013-02-01,2013,2,6222,2,1,1,5,5,4,3,1,4,29,0,4,0,7,1,1,0,0,7,6,5,0.9863665187064046,0.0003170577045022,0.0001585288522511,0.0001585288522511,0.0007926442612555,0.0007926442612555,0.0006341154090044,0.0004755865567533,0.0001585288522511,0.0006341154090044,0.0045973367152821,0.0,0.0006341154090044,0.0,0.0011097019657577,0.0001585288522511,0.0001585288522511,0.0,0.0,0.0011097019657577,0.0009511731135066,0.0007926442612555
Ukraine,Combined,2013-03-01,2013,3,6498,2,0,0,2,3,26,8,3,4,41,4,8,3,10,1,0,3,0,13,6,1,0.9792043399638336,0.0003013863773357,0.0,0.0,0.0003013863773357,0.0004520795660036,0.0039180229053646,0.0012055455093429,0.0004520795660036,0.0006027727546714,0.0061784207353827,0.0006027727546714,0.0012055455093429,0.0004520795660036,0.0015069318866787,0.0001506931886678,0.0,0.0004520795660036,0.0,0.0019590114526823,0.0009041591320072,0.0001506931886678
Ukraine,Combined,2013-04-01,2013,4,7035,4,0,1,6,3,4,4,0,1,33,1,5,2,11,3,6,2,0,7,10,9,0.9843290891283056,0.0005596753882748,0.0,0.0001399188470687,0.0008395130824122,0.0004197565412061,0.0005596753882748,0.0005596753882748,0.0,0.0001399188470687,0.0046173219532671,0.0001399188470687,0.0006995942353435,0.0002798376941374,0.0015391073177557,0.0004197565412061,0.0008395130824122,0.0002798376941374,0.0,0.0009794319294809,0.001399188470687,0.0012592696236183
Ukraine,Combined,2013-05-01,2013,5,5330,1,0,0,12,3,9,6,1,0,21,1,8,0,11,1,1,6,2,17,12,1,0.979239390042256,0.0001837222120154,0.0,0.0,0.0022046665441851,0.0005511666360462,0.0016534999081388,0.0011023332720925,0.0001837222120154,0.0,0.003858166452324,0.0001837222120154,0.0014697776961234,0.0,0.0020209443321697,0.0001837222120154,0.0001837222120154,0.0011023332720925,0.0003674444240308,0.0031232776042623,0.0022046665441851,0.0001837222120154
Ukraine,Combined,2013-06-01,2013,6,5566,0,0,1,0,4,3,5,7,1,26,2,3,1,4,2,1,3,0,6,2,1,0.987229514012061,0.0,0.0,0.0001773678609435,0.0,0.0007094714437743,0.0005321035828307,0.0008868393047179,0.0012415750266051,0.0001773678609435,0.0046115643845335,0.0003547357218871,0.0005321035828307,0.0001773678609435,0.0007094714437743,0.0003547357218871,0.0001773678609435,0.0005321035828307,0.0,0.0010642071656615,0.0003547357218871,0.0001773678609435
Ukraine,Combined,2013-07-01,2013,7,6122,2,1,2,10,5,6,6,2,3,18,4,16,0,22,1,6,5,2,13,34,8,0.9736005089058524,0.0003180661577608,0.0001590330788804,0.0003180661577608,0.001590330788804,0.000795165394402,0.0009541984732824,0.0009541984732824,0.0003180661577608,0.0004770992366412,0.0028625954198473,0.0006361323155216,0.0025445292620865,0.0,0.0034987277353689,0.0001590330788804,0.0009541984732824,0.000795165394402,0.0003180661577608,0.0020674300254452,0.0054071246819338,0.0012722646310432
Ukraine,Combined,2013-08-01,2013,8,5133,4,0,4,16,14,3,32,3,1,21,1,16,1,24,0,1,7,0,47,138,2,0.938734455010973,0.0007315288953913,0.0,0.0007315288953913,0.0029261155815654,0.0025603511338697,0.0005486466715435,0.0058522311631309,0.0005486466715435,0.0001828822238478,0.0038405267008046,0.0001828822238478,0.0029261155815654,0.0001828822238478,0.0043891733723482,0.0,0.0001828822238478,0.0012801755669348,0.0,0.0085954645208485,0.0252377468910021,0.0003657644476956
Ukraine,Combined,2013-09-01,2013,9,5149,7,2,1,6,10,8,40,6,3,35,4,12,3,22,3,4,10,2,72,30,6,0.947378104875805,0.0012879484820607,0.0003679852805887,0.0001839926402943,0.0011039558417663,0.0018399264029438,0.0014719411223551,0.0073597056117755,0.0011039558417663,0.0005519779208831,0.0064397424103035,0.0007359705611775,0.0022079116835326,0.0005519779208831,0.0040478380864765,0.0005519779208831,0.0007359705611775,0.0018399264029438,0.0003679852805887,0.0132474701011959,0.0055197792088316,0.0011039558417663
Ukraine,Combined,2013-10-01,2013,10,6185,1,2,1,18,3,12,26,9,5,38,3,7,1,17,3,2,2,3,54,24,5,0.9632456003737736,0.000155738981467,0.0003114779629341,0.000155738981467,0.0028033016664071,0.0004672169444011,0.0018688677776047,0.0040492135181435,0.0014016508332035,0.0007786949073353,0.0059180812957483,0.0004672169444011,0.0010901728702694,0.000155738981467,0.00264756268494,0.0004672169444011,0.0003114779629341,0.0003114779629341,0.0004672169444011,0.0084099049992213,0.0037377355552094,0.0007786949073353
Ukraine,Combined,2013-11-01,2013,11,7323,1,6,0,8,39,7,74,12,6,92,1,17,1,39,9,0,2,0,105,27,10,0.9413806401851138,0.0001285512276642,0.0007713073659853,0.0,0.0010284098213137,0.0050134978789047,0.0008998585936495,0.0095127908471525,0.0015426147319706,0.0007713073659853,0.0118267129451086,0.0001285512276642,0.0021853708702918,0.0001285512276642,0.0050134978789047,0.001156961048978,0.0,0.0002571024553284,0.0,0.0134978789047435,0.003470883146934,0.0012855122766422
Ukraine,Combined,2013-12-01,2013,12,9460,2,1,0,8,36,43,72,20,105,113,0,21,3,35,17,4,4,0,89,34,3,0.9394240317775572,0.0001986097318768,9.930486593843098e-05,0.0,0.0007944389275074,0.0035749751737835,0.0042701092353525,0.007149950347567,0.0019860973187686,0.0104270109235352,0.0112214498510427,0.0,0.002085402184707,0.0002979145978152,0.003475670307845,0.0016881827209533,0.0003972194637537,0.0003972194637537,0.0,0.0088381330685203,0.0033763654419066,0.0002979145978152
Ukraine,Combined,2014-01-01,2014,1,7471,7,0,0,18,4,8,21,1,30,36,1,10,1,24,8,1,1,0,12,9,3,0.972533194480604,0.0009112210361884,0.0,0.0,0.0023431398073418,0.0005206977349648,0.0010413954699297,0.0027336631085654,0.0001301744337412,0.0039052330122363,0.0046862796146836,0.0001301744337412,0.0013017443374121,0.0001301744337412,0.0031241864097891,0.0010413954699297,0.0001301744337412,0.0001301744337412,0.0,0.0015620932048945,0.0011715699036709,0.0003905233012236
Ukraine,Combined,2014-02-01,2014,2,10904,4,1,0,28,33,24,144,13,50,32,6,35,6,194,32,10,0,1,9,26,4,0.9435790931118034,0.0003461405330564,8.653513326410523e-05,0.0,0.0024229837313949,0.0028556593977154,0.0020768431983385,0.0124610591900311,0.0011249567324333,0.0043267566632052,0.0027691242644513,0.0005192107995846,0.0030287296642436,0.0005192107995846,0.0167878158532364,0.0027691242644513,0.000865351332641,0.0,8.653513326410523e-05,0.0007788161993769,0.0022499134648667,0.0003461405330564
Ukraine,Combined,2014-03-01,2014,3,12169,45,7,7,100,163,117,504,134,34,131,25,190,66,1328,133,47,9,3,38,498,10,0.7722426703896433,0.0028556923467445,0.0004442188094935,0.0004442188094935,0.0063459829927655,0.0103439522782078,0.0074248001015357,0.0319837542835385,0.0085036172103058,0.0021576342175402,0.0083132377205229,0.0015864957481913,0.0120573676862546,0.0041883487752252,0.0842746541439268,0.0084401573803782,0.0029826120065998,0.0005711384693489,0.0001903794897829,0.0024114735372509,0.0316029953039725,0.0006345982992765
Ukraine,Combined,2014-04-01,2014,4,11645,38,8,3,74,125,48,363,29,25,174,58,142,28,1065,64,40,8,1,55,488,10,0.8036022358705404,0.0026223173003933,0.0005520668000828,0.000207025050031,0.0051066179007659,0.0086260437512939,0.0033124008004968,0.0250500310537575,0.0020012421503001,0.0017252087502587,0.0120074529018011,0.0040024843006003,0.0097991857014698,0.0019322338002898,0.073493892761024,0.0044165344006624,0.002760334000414,0.0005520668000828,6.900835001035126e-05,0.0037954592505693,0.0336760748050514,0.0006900835001035
Ukraine,Combined,2014-05-01,2014,5,12541,28,4,2,58,85,30,195,7,14,222,19,68,20,592,167,10,17,5,45,265,7,0.8708423026178738,0.0019443094229567,0.0002777584889938,0.0001388792444969,0.0040274980904103,0.0059023678911186,0.0020831886674536,0.0135407263384487,0.0004860773557391,0.0009721547114783,0.015415596139157,0.0013193528227206,0.0047218943128949,0.001388792444969,0.0411082563710853,0.0115964169154919,0.0006943962224845,0.0011804735782237,0.0003471981112422,0.0031247830011804,0.0184014998958405,0.0004860773557391
Ukraine,Combined,2014-06-01,2014,6,9896,49,2,1,37,170,49,157,37,28,259,17,57,25,524,17,16,3,3,102,228,11,0.8466803559206023,0.004192334017796,0.0001711156741957,8.555783709787816e-05,0.0031656399726214,0.0145448323066392,0.004192334017796,0.0134325804243668,0.0031656399726214,0.0023956194387405,0.0221594798083504,0.0014544832306639,0.004876796714579,0.0021389459274469,0.0448323066392881,0.0014544832306639,0.001368925393566,0.0002566735112936,0.0002566735112936,0.0087268993839835,0.0195071868583162,0.0009411362080766
