country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Uzbekistan,Combined,2012-01-01,2012,1,178,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.9726775956284152,0.0,0.0,0.0,0.0,0.0,0.0,0.0054644808743169,0.0054644808743169,0.0,0.0109289617486338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,Combined,2012-02-01,2012,2,168,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0.96,0.0,0.0,0.0,0.0,0.0,0.0057142857142857,0.0,0.0,0.0,0.0057142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.0
Uzbekistan,Combined,2012-03-01,2012,3,201,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0.9710144927536232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096618357487922,0.0,0.0,0.0096618357487922,0.0,0.0,0.0,0.0048309178743961,0.0,0.0048309178743961,0.0,0.0
Uzbekistan,Combined,2012-04-01,2012,4,213,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0.9726027397260274,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0045662100456621,0.0,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0045662100456621,0.0,0.0
Uzbekistan,Combined,2012-05-01,2012,5,214,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,1,2,0,2,0,0.9469026548672568,0.0,0.0,0.0,0.0,0.0,0.0,0.0044247787610619,0.0044247787610619,0.0,0.0176991150442477,0.0,0.0,0.0,0.0044247787610619,0.0,0.0,0.0044247787610619,0.0088495575221238,0.0,0.0088495575221238,0.0
Uzbekistan,Combined,2012-06-01,2012,6,205,0,0,0,0,0,4,1,3,2,5,0,2,0,0,0,0,0,0,0,0,0,0.9192825112107624,0.0,0.0,0.0,0.0,0.0,0.0179372197309417,0.0044843049327354,0.0134529147982062,0.0089686098654708,0.0224215246636771,0.0,0.0089686098654708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,Combined,2012-07-01,2012,7,461,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0.9808510638297872,0.002127659574468,0.0,0.0,0.0,0.0,0.0042553191489361,0.0,0.0,0.002127659574468,0.0,0.0,0.0,0.0,0.002127659574468,0.0,0.0,0.0042553191489361,0.0,0.0042553191489361,0.0,0.0
Uzbekistan,Combined,2012-08-01,2012,8,431,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0.9817767653758542,0.0,0.0,0.0,0.0,0.0,0.0045558086560364,0.0,0.0,0.0,0.0045558086560364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022779043280182,0.0045558086560364,0.0
Uzbekistan,Combined,2012-09-01,2012,9,311,0,0,0,0,1,0,2,1,0,2,0,1,0,0,0,0,1,0,0,0,2,0.968847352024922,0.0,0.0,0.0,0.0,0.0031152647975077,0.0,0.0062305295950155,0.0031152647975077,0.0,0.0062305295950155,0.0,0.0031152647975077,0.0,0.0,0.0,0.0,0.0031152647975077,0.0,0.0,0.0,0.0062305295950155
Uzbekistan,Combined,2012-10-01,2012,10,329,0,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,3,0,0,0,0,0.9733727810650888,0.0,0.0,0.0,0.0,0.0,0.0029585798816568,0.0,0.0029585798816568,0.0,0.0088757396449704,0.0,0.0,0.0,0.0029585798816568,0.0,0.0,0.0088757396449704,0.0,0.0,0.0,0.0
