country,panel,variable,date,value,baseline,mad,score
Cambodia,Civic_Related,arrestNorm,2013-12-01,0.024390243902439025,0.0124753605145762,0.002026069789706361,3.9665359930762274
Cambodia,Civic_Related,arrestNorm,2014-01-01,0.023752969121140142,0.012712777418659772,0.002026069789706361,3.675345895785956
Cambodia,Civic_Related,arrestNorm,2017-07-01,0.03861003861003861,0.018617584236149863,0.002934772562168274,4.594811164679347
Cambodia,Civic_Related,arrestNorm,2017-08-01,0.03614457831325301,0.01948791496182562,0.002934772562168274,3.828155428150023
Cambodia,Civic_Related,arrestNorm,2017-09-01,0.055944055944055944,0.01948791496182562,0.00464183920061075,5.297324865422959
Cambodia,Civic_Related,arrestNorm,2024-10-01,0.02531645569620253,0.004863652461338685,0.003736018974029433,3.692493770295289
Cambodia,Civic_Related,arrestNorm,2024-11-01,0.0421455938697318,0.006399074926993709,0.0038365134240225906,6.284533388925773
Cambodia,Civic_Related,protestNorm,2013-08-01,0.043209876543209874,0.018284530017382002,0.0041283972917575545,4.072262120215115
Cambodia,Civic_Related,protestNorm,2013-09-01,0.08,0.018605053651782624,0.004368029023346216,9.48032253657297
Cambodia,Civic_Related,protestNorm,2025-05-01,0.010869565217391304,0.0,0.0018363311046237876,3.992428860023391
Cambodia,Civic_Related,legalactionNorm,2014-07-01,0.121875,0.04516419072158031,0.008786041305960252,5.888969811144162
Cambodia,Civic_Related,legalactionNorm,2017-09-01,0.11538461538461539,0.0634441087613293,0.009138749125795504,3.8334996702176993
Cambodia,Civic_Related,disasterNorm,2013-10-01,0.041666666666666664,0.015858477011494253,0.0032649872882682014,5.331532378022332
Cambodia,Civic_Related,disasterNorm,2015-05-01,0.03146853146853147,0.008890469416785205,0.004257767142452997,3.5766855516712055
Cambodia,Civic_Related,disasterNorm,2018-07-01,0.03368421052631579,0.006818762632716122,0.0035198260514074887,5.148122688104718
Cambodia,Civic_Related,disasterNorm,2019-06-01,0.0945945945945946,0.005242497150816766,0.005621854931580926,10.720156389509091
Cambodia,Civic_Related,disasterNorm,2019-09-01,0.047619047619047616,0.006602457944739824,0.005621854931580926,4.921028923239034
Cambodia,Civic_Related,disasterNorm,2020-01-01,0.06312292358803986,0.006602457944739824,0.006411516055912608,5.945946553867584
Cambodia,Civic_Related,disasterNorm,2022-12-01,0.05660377358490566,0.009901223508333529,0.0068069388654040585,4.62769522299375
Cambodia,Civic_Related,censorNorm,2017-05-01,0.012618296529968454,0.0028176270111753983,0.0006740143565573326,9.807596771193626
Cambodia,Civic_Related,censorNorm,2017-07-01,0.011583011583011582,0.003100262587928622,0.0006740143565573326,8.48874472254086
Cambodia,Civic_Related,censorNorm,2017-08-01,0.030120481927710843,0.003289616067177423,0.0017155874911537231,10.548672792849283
Cambodia,Civic_Related,censorNorm,2017-09-01,0.038461538461538464,0.0033167587071791602,0.002822368093640817,8.398914812552519
Cambodia,Civic_Related,censorNorm,2017-11-01,0.02830188679245283,0.003434179213496383,0.0030211480362537764,5.5518758995242035
Cambodia,Civic_Related,censorNorm,2020-03-01,0.011976047904191617,0.0033972406792174233,0.0009825763347885916,5.888932997578368
Cambodia,Civic_Related,censorNorm,2023-02-01,0.041666666666666664,0.001037344398340249,0.001896450927549871,14.45020381792198
Cambodia,Civic_Related,electionactivityNorm,2013-07-01,0.16898608349900596,0.016338757639932845,0.0088713263936806,11.605841807838283
Cambodia,Civic_Related,electionactivityNorm,2017-06-01,0.15625,0.035541423776717894,0.018306563975772506,4.447411287007745
Cambodia,Civic_Related,electionactivityNorm,2018-05-01,0.10914454277286136,0.03853578853578854,0.0075922596432094445,6.2728297646742766
Cambodia,Civic_Related,electionactivityNorm,2018-06-01,0.08496732026143791,0.03853578853578854,0.0075922596432094445,4.124943109039418
Cambodia,Civic_Related,electionactivityNorm,2018-07-01,0.29894736842105263,0.03853578853578854,0.0075922596432094445,23.134773117303723
Cambodia,Civic_Related,electionactivityNorm,2018-08-01,0.10064935064935066,0.03896761133603239,0.009842636053014268,4.22689236614986
Cambodia,Civic_Related,electionactivityNorm,2022-05-01,0.09477124183006536,0.022411978568694986,0.008066143413554066,6.050680223502756
Cambodia,Civic_Related,electionactivityNorm,2022-06-01,0.08223684210526316,0.02269335855401429,0.008066143413554066,4.9790249668606155
Cambodia,Civic_Related,electionactivityNorm,2023-05-01,0.09717868338557993,0.03553690431283792,0.006470646202264473,6.425449496483364
Cambodia,Civic_Related,electionactivityNorm,2023-06-01,0.06968641114982578,0.03553690431283792,0.006470646202264473,3.559694979795107
Cambodia,Civic_Related,electionactivityNorm,2023-07-01,0.1969309462915601,0.03553690431283792,0.006470646202264473,16.82348046028687
Cambodia,Civic_Related,electionactivityNorm,2024-02-01,0.084070796460177,0.039029446606870875,0.007862790034484788,3.863765169509341
Cambodia,Civic_Related,electionirregularitiesNorm,2013-07-01,0.04771371769383698,0.002839683680805176,0.0032298732014294793,9.370993656603218
Cambodia,Civic_Related,electionirregularitiesNorm,2013-09-01,0.032,0.0033626865503784426,0.0034772949543001343,5.55477851371747
Cambodia,Civic_Related,electionirregularitiesNorm,2016-09-01,0.012738853503184714,0.0,0.0005668934240362812,15.156709550531389
Cambodia,Civic_Related,electionirregularitiesNorm,2016-10-01,0.009966777408637873,0.0,0.0005668934240362812,11.858488701495487
