country,panel,variable,date,value,baseline,mad,score
Georgia,Civic_Related,arrestNorm,2025-05-01,0.08527131782945736,0.025964520292004543,0.003923074468276994,10.196565789568089
Georgia,Civic_Related,arrestNorm,2025-06-01,0.06542056074766354,0.025964520292004543,0.004563133392790348,5.832118503246969
Georgia,Civic_Related,protestNorm,2017-02-01,0.055776892430278883,0.01977790330802827,0.006702186623543923,3.6228453305314594
Georgia,Civic_Related,protestNorm,2017-03-01,0.07100591715976332,0.01977790330802827,0.006702186623543923,5.155455064165876
Georgia,Civic_Related,protestNorm,2018-05-01,0.14084507042253522,0.03270186998566243,0.013797468283714457,5.28659228599141
Georgia,Civic_Related,protestNorm,2019-04-01,0.12121212121212122,0.027770095870206492,0.017133124915761754,3.678592372948746
Georgia,Civic_Related,protestNorm,2019-06-01,0.208955223880597,0.027770095870206492,0.017133124915761754,7.132831587842244
Georgia,Civic_Related,protestNorm,2019-07-01,0.12084592145015106,0.027770095870206492,0.017133124915761754,3.6641759511467797
Georgia,Civic_Related,protestNorm,2019-11-01,0.2287390029325513,0.033435711294150496,0.015494043180587369,8.501994216106873
Georgia,Civic_Related,protestNorm,2023-03-01,0.1384217335058215,0.01911919228836402,0.010960121957009343,7.341931225663833
Georgia,Civic_Related,protestNorm,2024-04-01,0.21045197740112995,0.022079180509413068,0.01680682017317659,7.559770946023648
Georgia,Civic_Related,protestNorm,2024-05-01,0.18828828828828828,0.022079180509413068,0.017261188607262588,6.494715392341659
Georgia,Civic_Related,protestNorm,2024-11-01,0.21875,0.01971640333747559,0.015109653508259147,8.884804783966985
Georgia,Civic_Related,protestNorm,2024-12-01,0.23529411764705882,0.023255813953488372,0.015109653508259147,9.465331314065521
Georgia,Civic_Related,protestNorm,2025-01-01,0.17100371747211895,0.036017175165350974,0.0173511566607776,5.247325997892936
Georgia,Civic_Related,legalactionNorm,2018-01-01,0.1638418079096045,0.05537989843824854,0.018259394190236516,4.0065160394387105
Georgia,Civic_Related,legalactionNorm,2019-10-01,0.11538461538461539,0.05013940308057955,0.010595102788718488,4.153550340825307
Georgia,Civic_Related,legalactionNorm,2023-08-01,0.16458333333333333,0.04582048439489367,0.013305720643298855,6.0203010664014815
Georgia,Civic_Related,disasterNorm,2014-02-01,0.03211009174311927,0.005556241511297692,0.004148404277714622,4.317401441827649
Georgia,Civic_Related,disasterNorm,2015-06-01,0.13114754098360656,0.01310204081632653,0.010407643312101911,7.650204438505416
Georgia,Civic_Related,disasterNorm,2017-08-01,0.06329113924050633,0.01915550663486822,0.004972614071895574,5.986605018154723
Georgia,Civic_Related,disasterNorm,2017-09-01,0.0892018779342723,0.01915550663486822,0.004972614071895574,9.501165683325285
Georgia,Civic_Related,disasterNorm,2023-08-01,0.14375,0.020702725992051006,0.00838824393354164,9.894114901127445
Georgia,Civic_Related,censorNorm,2018-09-01,0.015625,0.0,0.0023734177215189874,4.440397499887585
Georgia,Civic_Related,censorNorm,2024-03-01,0.0035842293906810036,0.0,0.000646830530401035,3.737500767565649
Georgia,Civic_Related,censorNorm,2024-09-01,0.0051813471502590676,0.00045045045045045046,0.000773865715650968,4.123384772738047
Georgia,Civic_Related,censorNorm,2025-03-01,0.015625,0.002691201757047698,0.0019398111851947517,4.4972044013294585
Georgia,Civic_Related,censorNorm,2025-05-01,0.031007751937984496,0.0024361797859240317,0.0019398111851947517,9.93460680470755
Georgia,Civic_Related,censorNorm,2025-06-01,0.018691588785046728,0.002803162622419063,0.002644765897201063,4.05200197138803
Georgia,Civic_Related,censorNorm,2025-08-01,0.021052631578947368,0.002803162622419063,0.002691201757047698,4.5738295704877405
Georgia,Civic_Related,electionactivityNorm,2016-04-01,0.09195402298850575,0.012287661749826935,0.013835566105659463,3.883774909263249
Georgia,Civic_Related,electionactivityNorm,2016-10-01,0.3117206982543641,0.04114295290765879,0.02523465991171362,7.232203231383703
Georgia,Civic_Related,electionactivityNorm,2017-04-01,0.2132701421800948,0.05301117472063198,0.03027465053751547,3.5704191710065185
Georgia,Civic_Related,electionactivityNorm,2018-10-01,0.250814332247557,0.05426065162907268,0.010497170322685198,12.629464631223493
Georgia,Civic_Related,electionactivityNorm,2018-11-01,0.31268436578171094,0.05426065162907268,0.010497170322685198,16.60489463992884
Georgia,Civic_Related,electionactivityNorm,2020-10-01,0.23950617283950618,0.04511802317196288,0.02112028596896457,6.2079183442485935
Georgia,Civic_Related,electionactivityNorm,2020-11-01,0.29790209790209793,0.05190108830417413,0.02112028596896457,7.856210282357619
Georgia,Civic_Related,electionactivityNorm,2020-12-01,0.19444444444444445,0.05638069181160836,0.02335749567736338,3.986845450206338
Georgia,Civic_Related,electionactivityNorm,2021-01-01,0.27538726333907054,0.058961071789686556,0.024590825614013843,5.9362572286138
Georgia,Civic_Related,electionactivityNorm,2022-11-01,0.1735357917570499,0.02913456327607738,0.017736951884973245,5.491208122969513
Georgia,Civic_Related,electionactivityNorm,2024-10-01,0.2459349593495935,0.043225027271310584,0.01814237234545616,7.536278797363219
Georgia,Civic_Related,electionirregularitiesNorm,2013-10-01,0.0125,0.0,0.0017064846416382253,4.9406448131660605
Georgia,Civic_Related,electionirregularitiesNorm,2014-06-01,0.028,0.0022935779816513763,0.004000062623289602,4.334618165633284
Georgia,Civic_Related,electionirregularitiesNorm,2014-10-01,0.014814814814814815,0.0,0.0022935779816513763,4.356710683434008
Georgia,Civic_Related,electionirregularitiesNorm,2017-10-01,0.028481012658227847,0.0017006802721088435,0.0031645569620253164,5.707935406727105
Georgia,Civic_Related,electionirregularitiesNorm,2018-09-01,0.026041666666666668,0.0035533434857432924,0.003724971770084552,4.072021781070258
Georgia,Civic_Related,electionirregularitiesNorm,2018-10-01,0.035830618892508145,0.004098980294656206,0.0037501704194369467,5.707126509870827
Georgia,Civic_Related,electionirregularitiesNorm,2018-11-01,0.0471976401179941,0.004098980294656206,0.0037501704194369467,7.751553808328298
Georgia,Civic_Related,electionirregularitiesNorm,2023-08-01,0.03125,0.005227543935777826,0.0019708838348890144,8.9056015598159
Georgia,Civic_Related,electionirregularitiesNorm,2024-03-01,0.025089605734767026,0.006934446683942797,0.003001572834931372,4.079690112496903
Georgia,Civic_Related,electionirregularitiesNorm,2024-10-01,0.15955284552845528,0.011368531697482467,0.006335630929404645,15.775690139160789
Georgia,Civic_Related,electionirregularitiesNorm,2024-11-01,0.09027777777777778,0.012992632700159773,0.007732594809061773,6.74134847187038
Georgia,Civic_Related,activismNorm,2015-06-01,0.01092896174863388,0.0,0.002,3.6857418550633616
Georgia,Civic_Related,activismNorm,2016-06-01,0.022222222222222223,0.0022624434389140274,0.0022624434389140274,5.950507366937963
Georgia,Civic_Related,activismNorm,2016-08-01,0.02666666666666667,0.0022624434389140274,0.0022624434389140274,7.275506992220874
Georgia,Civic_Related,activismNorm,2024-05-01,0.007207207207207207,0.002832883923985619,0.0006634465237829398,4.44714159729561
Georgia,Civic_Related,activismNorm,2025-02-01,0.017857142857142856,0.003316504939242941,0.0016244343866061155,6.037502033559555
Georgia,Civic_Related,activismNorm,2025-03-01,0.03125,0.0037005116419053874,0.0016244343866061155,11.438981764394581
Georgia,Civic_Related,activismNorm,2025-05-01,0.03875968992248062,0.0042232117613797,0.002549542542828023,9.136751002667664
Georgia,Civic_Related,activismNorm,2025-06-01,0.028037383177570093,0.0042232117613797,0.002549542542828023,6.300125726474516
Georgia,Civic_Related,activismNorm,2025-08-01,0.031578947368421054,0.005765276749732708,0.003429769690496648,5.076458150738559
Georgia,Civic_Related,activismNorm,2025-09-01,0.02727272727272727,0.006622931639645663,0.003961861701642543,3.515543294663532
Georgia,Civic_Related,martiallawNorm,2024-09-01,0.0034542314335060447,0.0,0.0005952380952380953,3.914143267428946
Georgia,Civic_Related,cooperateNorm,2019-02-01,0.09852216748768473,0.04144290870675235,0.008730466137735128,4.409779729756765
Georgia,Civic_Related,cooperateNorm,2021-03-01,0.0984182776801406,0.026944806605823553,0.010468304302464473,4.605158046083478
Georgia,Civic_Related,coupNorm,2014-05-01,0.024509803921568627,0.0,0.0017064846416382253,9.687538849345216
Georgia,Civic_Related,coupNorm,2019-06-01,0.006396588486140725,0.0,0.0011904761904761906,3.6241294539040934
Georgia,Civic_Related,coupNorm,2019-12-01,0.00411522633744856,0.0,0.0005952380952380953,4.663145991443128
Georgia,Civic_Related,coupNorm,2020-01-01,0.011627906976744186,0.0,0.0005952380952380953,13.176098557217207
Georgia,Civic_Related,coupNorm,2020-02-01,0.005780346820809248,0.0,0.0005952380952380953,6.549968068905663
Georgia,Civic_Related,coupNorm,2020-06-01,0.01639344262295082,0.001466275659824047,0.00219941348973607,4.577691383988696
Georgia,Civic_Related,coupNorm,2023-03-01,0.007761966364812419,0.0,0.0009855487840086507,5.3121414925191175
Georgia,Civic_Related,coupNorm,2023-09-01,0.02142857142857143,0.0,0.001348230549050221,10.720253615034522
Georgia,Civic_Related,coupNorm,2023-10-01,0.011286681715575621,0.0,0.001348230549050221,5.646484221613368
Georgia,Civic_Related,coupNorm,2024-07-01,0.015267175572519083,0.0010416666666666667,0.0010416666666666667,9.211175333615486
Georgia,Civic_Related,coupNorm,2025-06-01,0.028037383177570093,0.0031772844272844273,0.003538367362519905,4.738882419151018
Georgia,Civic_Related,coupNorm,2025-10-01,0.022222222222222223,0.0031772844272844273,0.003538367362519905,3.6303846495870573
Georgia,Civic_Related,violencenonlethalNorm,2014-05-01,0.07352941176470588,0.020710112038311027,0.00900223138883896,3.957477657333664
Georgia,Civic_Related,violencenonlethalNorm,2020-10-01,0.07901234567901234,0.02350817411058375,0.009221195013976585,4.05989145426002
Georgia,Civic_Related,violencenonlethalNorm,2021-07-01,0.08082408874801902,0.025557823485284625,0.007187770368513809,5.186112426989546
Georgia,Civic_Related,violencelethalNorm,2014-10-01,0.022222222222222223,0.006309713375796179,0.0025871559633027525,4.148509146430602
Georgia,Civic_Related,violencelethalNorm,2015-01-01,0.032467532467532464,0.010083307934572794,0.003813156215618803,3.9594372094405506
Georgia,Civic_Related,violencelethalNorm,2019-01-01,0.053475935828877004,0.011750010767971745,0.006984074729282369,4.029703572070073
Georgia,Civic_Related,violencelethalNorm,2021-07-01,0.020602218700475437,0.002646997279765641,0.002225228830693665,5.4424204673142595
Georgia,Civic_Related,violencelethalNorm,2022-03-01,0.025500910746812388,0.0036526612879982084,0.002225228830693665,6.6224390801713335
Georgia,Civic_Related,violencelethalNorm,2022-04-01,0.023746701846965697,0.0036526612879982084,0.002225228830693665,6.090719520898249
Georgia,Civic_Related,violencelethalNorm,2023-01-01,0.05379746835443038,0.007688756390925745,0.0012383313033827504,25.11436161372663
Georgia,Civic_Related,violencelethalNorm,2023-04-01,0.03003003003003003,0.008121835782252347,0.0016784058055377693,8.804113122219428
Georgia,Civic_Related,violencelethalNorm,2023-11-01,0.05612244897959184,0.009080882731892347,0.0022881021492464964,13.866995298189913
Georgia,Civic_Related,violencelethalNorm,2024-09-01,0.06044905008635579,0.014049192726316136,0.005567771070361365,5.620970157515404
Georgia,Civic_Related,corruptionNorm,2019-08-01,0.06132075471698113,0.014363087892499658,0.005102416655841396,6.207355160506896
Georgia,Civic_Related,corruptionNorm,2020-02-01,0.03468208092485549,0.014363087892499658,0.003801431127012523,3.60521408498168
Georgia,Civic_Related,corruptionNorm,2023-08-01,0.075,0.01762375218688896,0.006822117701833564,5.672688548451951
Georgia,Civic_Related,corruptionNorm,2025-08-01,0.07368421052631578,0.02115171650055371,0.0072831978319783195,4.864989611714482
Georgia,Civic_Related,corruptionNorm,2025-09-01,0.07272727272727272,0.023717716994015342,0.009163226443829607,3.6075167050351666
Georgia,Civic_Related,legalchangeNorm,2014-05-01,0.058823529411764705,0.0125,0.008117039079088149,3.849284478015295
Georgia,Civic_Related,legalchangeNorm,2016-02-01,0.054945054945054944,0.009262413763733924,0.006003135033553469,5.13273800656904
Georgia,Civic_Related,legalchangeNorm,2016-11-01,0.049723756906077346,0.014325018758953137,0.006251021408726916,3.81955527204466
Georgia,Civic_Related,legalchangeNorm,2019-05-01,0.06072874493927125,0.013632095702875956,0.0077986137896720814,4.07332066556854
Georgia,Civic_Related,legalchangeNorm,2023-02-01,0.05707762557077625,0.009624727976738086,0.005120732676181535,6.250383091943548
Georgia,Civic_Related,legalchangeNorm,2023-03-01,0.1410090556274256,0.011124262679940475,0.005120732676181535,17.108116783189764
Georgia,Civic_Related,legalchangeNorm,2023-05-01,0.046357615894039736,0.016346535214459744,0.005081054471606174,3.9838574282956887
Georgia,Civic_Related,legalchangeNorm,2024-04-01,0.2132768361581921,0.018785545321858173,0.011717191862784204,11.195735292552515
Georgia,Civic_Related,legalchangeNorm,2024-05-01,0.21081081081081082,0.021140172676485526,0.014352570980446051,8.913461772105144
Georgia,Civic_Related,legalchangeNorm,2024-06-01,0.12209302325581395,0.021140172676485526,0.014352570980446051,4.744220735876988
Georgia,Civic_Related,mobilizesecurityNorm,2014-03-01,0.01875,0.0020920502092050207,0.0020920502092050207,5.37063267233239
